reach,sta_from,sta_to,length_m,z_ground_ft_min,z_ground_ft_max,H_min,H_max,slope_ds_mean,slope_us_mean,geology,rcc_closes_frac,rcc_vol_m3,rcc_base_max,rcc_toe_ds_max,cfrd_closes_frac,cfrd_vol_m3,cfrd_base_max,cfrd_toe_ds_max,ecrd_closes_frac,ecrd_vol_m3,ecrd_base_max,ecrd_toe_ds_max,rockfill_closes_frac,rockfill_vol_m3,rockfill_base_max,rockfill_toe_ds_max
1,0.0,606.0,620.0,3695.45,3703.27,127.02,129.4,30.42,27.3,Calaveras 千枚岩/泥质岩（可能）,1.0,8100530.33,217.0,-213.0,1.0,30531118.23,778.0,-654.0,0.98,43401649.24,991.0,-749.0,1.0,37768126.05,875.0,-738.0
2,615.84,1881.83,1290.0,3695.63,3704.61,126.61,129.35,21.35,21.9,Calaveras 千枚岩/泥质岩（可能）,1.0,13449141.82,229.0,-225.0,1.0,34170520.34,588.0,-424.0,1.0,43695582.12,917.0,-728.0,1.0,38481020.66,759.0,-574.0
3,1891.81,2292.85,420.0,3697.19,3702.6,127.22,128.87,17.85,14.08,变质火山岩（可能）,1.0,4116683.86,210.0,-206.0,1.0,13052421.74,754.0,-600.0,0.88,15824656.23,1203.0,-827.0,1.0,16204405.84,1071.0,-790.0
4,2302.83,2695.16,410.0,3696.65,3705.07,126.47,129.04,30.95,13.74,变质火山岩（可能）,1.0,6248031.99,315.0,-311.0,1.0,27060232.82,931.0,-724.0,0.85,33812313.49,1095.0,-884.0,1.0,34650853.92,1065.0,-840.0
5,2705.14,2893.39,200.0,3699.6,3855.08,80.75,128.14,11.73,11.6,变质火山岩（可能）,1.0,1068914.88,109.0,-105.0,1.0,3027308.26,427.0,-284.0,1.0,4013669.29,626.0,-415.0,1.0,3410292.18,537.0,-376.0
6,2903.38,3322.69,430.0,3867.33,4019.01,30.78,77.01,14.89,13.07,Calaveras 千枚岩/泥质岩（可能）,1.0,631472.6,62.0,-58.0,1.0,2562989.64,239.0,-97.0,1.0,3833806.09,368.0,-133.0,1.0,2960962.21,282.0,-108.0
7,3332.68,3482.43,160.0,4025.08,4070.77,15.0,28.93,15.99,19.22,Mehrten 火山泥流（可能）,1.0,38748.39,28.0,-24.0,1.0,159693.88,119.0,-41.0,1.0,339679.01,260.0,-50.0,1.0,195015.56,179.0,-45.0
8,3492.42,3761.98,280.0,3968.93,4109.78,3.12,46.04,21.61,11.03,Mehrten 火山泥流（可能）,1.0,139383.74,38.0,-34.0,1.0,556121.79,167.0,-49.0,1.0,814209.29,222.0,-58.0,1.0,650615.88,195.0,-54.0
9,3771.96,4109.77,350.0,4122.54,4234.31,-34.84,-0.77,21.08,19.7,Mehrten 火山泥流（可能）,1.0,0.0,nan,nan,1.0,0.0,nan,nan,1.0,0.0,nan,nan,1.0,0.0,nan,nan
10,4119.76,4229.58,120.0,4039.73,4112.51,2.28,24.47,15.87,15.07,Mehrten 火山泥流（可能）,1.0,18867.68,24.0,-20.0,1.0,58532.49,92.0,-29.0,1.0,99524.34,227.0,-34.0,1.0,66706.77,102.0,-32.0
11,4239.56,4339.4,110.0,4120.07,4164.59,-13.59,-0.02,5.91,12.64,Mehrten 火山泥流（可能）,1.0,0.0,nan,nan,1.0,0.0,nan,nan,1.0,0.0,nan,nan,1.0,0.0,nan,nan
12,4349.38,4588.99,250.0,3700.0,4107.09,3.94,128.02,3.4,7.64,Calaveras 千枚岩/泥质岩（可能）,1.0,453638.07,104.0,-100.0,1.0,1553250.14,371.0,-177.0,1.0,2144560.4,533.0,-225.0,1.0,1782511.82,420.0,-202.0
