station,label,E,N,z_ground_ft,H_axis_m,slope_ds_deg,slope_us_deg,geology,no_dam,rcc_area_m2,rcc_base_m,rcc_toe_ds,rcc_toe_us,cfrd_area_m2,cfrd_base_m,cfrd_toe_ds,cfrd_toe_us,ecrd_area_m2,ecrd_base_m,ecrd_toe_ds,ecrd_toe_us
79.8,段 1 H 最大,685945.9,4355963.6,3695.4,129.4,28.5,34.5,Calaveras 千枚岩/泥质岩（可能）,False,13019.7,184.0,-180.0,4.0,44398.1,527.0,-432.0,95.0,64047.8,648.0,-535.0,113.0
1298.0,段 2 H 最大,686517.3,4356241.3,3695.6,129.3,27.0,29.5,Calaveras 千枚岩/泥质岩（可能）,False,5457.1,79.0,-75.0,4.0,13897.7,239.0,-133.0,106.0,17559.4,339.0,-204.0,135.0
2252.9,段 3 H 最大,686345.0,4356851.2,3697.2,128.9,33.2,13.3,Calaveras 千枚岩/泥质岩（可能）,False,14309.8,210.0,-206.0,4.0,51383.3,577.0,-424.0,153.0,71006.1,719.0,-481.0,238.0
2411.6,段 4 H 最大,686446.8,4356913.8,3696.6,129.0,41.2,11.6,变质火山岩（可能）,False,21052.4,301.0,-297.0,4.0,94344.8,865.0,-647.0,218.0,137388.4,1031.0,-743.0,288.0
2431.6,高段中下游最陡,686466.7,4356913.1,3698.5,128.5,42.0,13.9,变质火山岩（可能）,False,22204.2,314.0,-310.0,4.0,93276.0,848.0,-650.0,198.0,137249.7,1023.0,-761.0,262.0
2774.6,段 5 H 最大,686772.2,4356851.1,3699.6,128.1,19.6,22.1,变质火山岩（可能）,False,6674.5,91.0,-87.0,4.0,17293.3,258.0,-138.0,120.0,22049.9,450.0,-274.0,176.0
2903.4,段 6 H 最大,686785.8,4356735.6,3867.3,77.0,4.5,3.8,变质火山岩（可能）,False,2453.6,62.0,-58.0,4.0,8889.5,239.0,-97.0,142.0,12763.7,349.0,-133.0,216.0
3482.4,段 7 H 最大,686760.8,4356157.1,4025.1,28.9,22.3,19.3,Mehrten 火山泥流（可能）,False,426.5,24.0,-20.0,4.0,1864.5,119.0,-30.0,89.0,4325.8,228.0,-33.0,195.0
3552.3,段 8 H 最大,686757.6,4356087.3,3968.9,46.0,18.6,15.6,Mehrten 火山泥流（可能）,False,979.5,38.0,-34.0,4.0,4178.0,161.0,-49.0,112.0,5838.4,196.0,-58.0,138.0
4109.8,段 9 H 最大,686415.8,4355870.1,4122.5,-0.8,7.0,25.2,Mehrten 火山泥流（可能）,True,0.0,,,,0.0,,,,0.0,,,
4179.7,段 10 H 最大,686346.0,4355872.3,4039.7,24.5,22.6,9.4,Mehrten 火山泥流（可能）,False,343.4,22.0,-18.0,4.0,1083.3,79.0,-27.0,52.0,1496.4,111.0,-31.0,80.0
4339.4,段 11 H 最大,686186.3,4355877.4,4120.1,-0.0,3.5,5.4,Mehrten 火山泥流（可能）,True,0.0,,,,0.0,,,,0.0,,,
4589.0,段 12 H 最大,685936.8,4355885.2,3700.0,128.0,5.6,4.5,Calaveras 千枚岩/泥质岩（可能）,False,6983.5,104.0,-100.0,4.0,23644.8,371.0,-177.0,194.0,32029.8,533.0,-225.0,308.0
