scheme,station,reach,E,N,z_ground_ft,H_m,slope_ds_deg,slope_us_deg,geology,kind,area_m2,base_m,toe_us_m,toe_ds_m,z_toe_ds_ft,us_wedge_m2,cut_area_m2,cut_depth_max_m,parcel_edge_ds_m
A,79.8089058382354,1,685945.8841097625,4355963.600520758,3695.4471243845537,62.34771648758806,28.479556686259997,34.527932978604746,Calaveras 千枚岩/泥质岩（可能）,rcc,3599.4467510980903,100.0,4.0,-96.0,3519.766963830933,220.59198135734937,2750.520658472389,31.714752592173227,nan
A,1297.9871823207134,2,686517.2733697386,4356241.257081841,3695.6314174778504,62.291543952751226,27.031711577199005,29.48718107777372,Calaveras 千枚岩/泥质岩（可能）,cfrd,3266.8672922484375,102.0,48.0,-54.0,3788.915879762298,1471.833554232668,15395.562620638204,125.37682675331212,-567.0
A,2252.9306932639847,3,686344.9523022195,4356851.219684473,3697.1861420683485,61.8176638975674,33.19354967735051,13.28455537003826,Calaveras 千枚岩/泥质岩（可能）,cfrd,17575.310840679413,440.0,62.0,-378.0,3028.154418466914,1867.0284740425943,3012.472030012779,38.08596270651606,nan
A,2431.59307771673,4,686466.7367757681,4356913.149854496,3698.4512413901534,61.43206162428123,42.04874087029446,13.921652616439308,变质火山岩（可能）,rcc,5882.4665120009695,166.0,4.0,-162.0,3249.343704080099,216.83265149528256,14904.860155430628,140.42169390447543,-448.0
A,2774.571653830345,5,686772.2251681063,4356851.109584603,3699.5969439189053,61.08285149351764,19.554706673617844,22.101859371522266,变质火山岩（可能）,cfrd,4512.483412784208,127.0,57.0,-70.0,3750.5837723350014,1904.4378889222435,56907.28123584024,155.3869376351547,-59.0
A,2913.3611879151763,6,686785.4340514858,4356725.594615047,3881.909629520504,5.513944922150358,3.951865294776792,7.0986442784238655,变质火山岩（可能）,cfrd,103.39852608629644,27.0,17.0,-10.0,3889.2996665102087,12.254047346093103,7226.256615942948,90.51756929034923,-1.0
A,4559.040307090657,12,685966.7756141888,4355884.24590747,3769.3623221748458,39.81836420110699,3.576640771018075,4.921699031706461,Calaveras 千枚岩/泥质岩（可能）,cfrd,2439.0323137036435,116.0,61.0,-55.0,3783.5583668951713,1210.961767103912,1128.6840517069145,31.825896044992987,-1.0
B,79.8089058382354,1,685945.8841097625,4355963.600520758,3695.4471243845537,129.4037164875881,28.479556686259997,34.527932978604746,Calaveras 千枚岩/泥质岩（可能）,rcc,13019.684451310186,184.0,4.0,-180.0,3395.74690696076,488.81598135734953,3700.249617444595,43.286194113862166,nan
B,1297.9871823207134,2,686517.2733697386,4356241.257081841,3695.6314174778504,129.34754395275127,27.031711577199005,29.48718107777372,Calaveras 千枚岩/泥质岩（可能）,rcc,5457.124431899778,79.0,4.0,-75.0,3825.1996018792897,486.7901327981806,20958.183026740324,133.4021149395594,-567.0
B,2431.59307771673,4,686466.7367757681,4356913.149854496,3698.4512413901534,128.48806162428127,42.04874087029446,13.921652616439308,变质火山岩（可能）,rcc,22204.22026980006,314.0,4.0,-310.0,2862.218878540772,485.0566514952827,34976.85010132034,146.7428735750409,-448.0
B,2774.571653830345,5,686772.2251681063,4356851.109584603,3699.5969439189053,128.13885149351768,19.554706673617844,22.101859371522266,变质火山岩（可能）,rcc,6674.486337035278,91.0,4.0,-87.0,3780.059026113182,485.8882346690141,76887.21531344572,164.53093763515471,-59.0
B,2903.3774463958093,6,686785.8350310839,4356735.570300993,3867.333922199776,77.01262051350818,4.521561850932851,3.799339318214486,变质火山岩（可能）,rcc,2453.6176325652414,62.0,4.0,-58.0,3897.0903043148105,283.9420423786228,17060.417215899623,110.67841258498174,-1.0
B,3552.3198894253055,8,686757.5596019821,4356087.250652354,3968.9338325882486,46.0449678271018,18.58283913526532,15.61773643680121,Mehrten 火山泥流（可能）,rcc,979.5439716176088,38.0,4.0,-34.0,3995.2057617195564,162.48992050891434,84077.67876591449,172.13279615834995,-1.0
B,4559.040307090657,12,685966.7756141888,4355884.24590747,3769.3623221748458,106.87436420110703,3.576640771018075,4.921699031706461,Calaveras 千枚岩/泥质岩（可能）,rcc,4996.971561339432,89.0,4.0,-85.0,3787.9229525649844,403.0692490311774,1597.091918821175,31.825896044992987,-1.0
