line,crest_ft,nwl_ft,type,H_max_m,dam_endarea_Mm3,dam_grid_Mm3,grid_cfrd_Mm3,grid_rcc_Mm3,infeasible_m,need_bank_Mm3,wedge_Mm3,net_nocut_Mm3,max_cut_Mm3,balanced,floor_ft,cut_Mm3,pit_acre,net_Mm3,net_GWh,maxnet_floor_ft,maxnet_cut_Mm3,maxnet_pit_acre,maxnet_Mm3,maxnet_GWh,maxnet_surplus_ratio,head_m
A_parcel_ring_3700,3800,3780,cfrd,31.87,13.37,16.23,,,0.00,13.52,1.18,4.59,39.08,True,3750,23.10,120.85,4.59,4.47,3450,37.65,63.85,26.42,25.74,2.78,420.62
A_parcel_ring_3700,3800,3780,combo,31.86771648758804,6.644077195897276,7.308102648099993,5.953106401762672,1.3549962463373215,0.0,6.180418623172483,0.8678088348954951,4.89416224249611,40.44928567385255,True,3750,23.103671953125,125.9074937111736,4.89416224249611,4.768237112011848,3450,39.27131878218263,67.35913770182314,28.161376212789094,27.43679357770194,6.354151907273912,420.624
A_parcel_ring_3700,3800,3780,rcc,31.87,2.80,3.08,,,0.00,2.77,0.27,5.50,44.05,True,3750,23.11,136.55,5.50,5.36,3450,43.58,77.08,32.67,31.83,15.71,420.62
A_parcel_ring_3700,3850,3830,cfrd,47.11,23.04,29.21,,,0.00,24.34,2.75,5.01,36.71,True,3700,29.91,112.56,18.41,18.59,3500,36.16,67.62,28.99,29.27,1.49,435.86
A_parcel_ring_3700,3850,3830,combo,47.10771648758805,12.080710681361202,13.109261601311403,10.218737231270502,2.890524370040901,0.0,11.117086292428896,1.984239288282932,5.77765115236551,38.51254740673341,True,3800,16.50740418689941,119.94583454826704,5.77765115236551,5.832943216117138,3500,38.293286530078134,73.08036354111583,31.8553937817249,32.16024958166207,3.4445434282683522,435.86400000000003
A_parcel_ring_3700,3850,3830,rcc,47.11,5.56,6.30,,,0.00,5.67,0.45,7.32,44.03,True,3800,16.51,136.50,7.32,7.39,3450,43.56,77.04,39.45,39.83,7.68,435.86
A_parcel_ring_3700,3900,3880,cfrd,62.35,34.96,45.00,,,0.00,37.50,5.01,6.27,34.12,False,,,,,,3550,34.12,70.96,31.39,32.80,0.91,451.10
A_parcel_ring_3700,3900,3880,combo,62.34771648758806,18.936140861551277,20.012239818087703,15.049745200024162,4.962494618063541,0.0,17.00769948961066,3.5722680282535655,7.70934241982652,36.44025737971192,True,3750,22.75790493371582,113.52703083378223,19.03836488872789,19.892609467473758,3500,35.801121739208995,66.97142970105217,35.23044213637733,36.81121939207741,2.104994961904078,451.10400000000004
A_parcel_ring_3700,3900,3880,rcc,62.35,9.13,10.56,,,0.00,9.51,0.63,10.66,43.97,True,3850,11.44,136.41,10.66,11.14,3450,43.49,76.91,46.49,48.58,4.57,451.10
A_parcel_ring_3700,3950,3930,cfrd,77.59,49.03,64.78,,,0.00,53.98,8.06,7.86,31.09,False,,,,,,3550,30.88,62.03,33.00,35.65,0.57,466.34
A_parcel_ring_3700,3950,3930,combo,77.58771648758807,27.462702612800754,28.152134666777613,20.557050756084116,7.595083910693496,0.0,23.966451149694244,5.734420557817083,10.192524053191718,33.42085481762207,True,3700,28.382448085024418,104.91936958530812,31.096750930833327,33.58975537426508,3550,33.42085481762207,69.7461735765507,37.869040247106774,40.904974316698755,1.3944849243167337,466.34400000000005
A_parcel_ring_3700,3950,3930,rcc,77.59,13.52,15.87,,,0.00,14.28,0.82,15.11,43.86,True,3800,16.47,136.17,24.09,26.02,3500,43.86,88.11,53.71,58.01,3.07,466.34
A_parcel_ring_3700,4000,3980,cfrd,92.83,65.26,88.38,,,0.00,73.65,12.08,9.46,27.70,False,,,,,,3600,27.70,61.61,33.46,37.33,0.38,481.58
A_parcel_ring_3700,4000,3980,combo,92.82771648758808,37.75489886947425,37.671332191201294,26.862597213953876,10.808734977247417,0.0,32.11335915781757,8.611046000852438,12.923110471831171,30.0362722333838,False,,,,,,3600,30.0362722333838,70.77388394953124,39.26056664687513,43.79394266138915,0.935320160241532,481.584
A_parcel_ring_3700,4000,3980,rcc,92.83,18.75,22.24,,,0.00,20.02,1.03,20.52,43.75,True,3750,22.98,135.96,39.00,43.50,3500,43.75,87.90,61.20,68.27,2.19,481.58
A_parcel_ring_3700,4050,4030,cfrd,108.07,83.82,114.17,,,0.00,95.14,17.23,10.78,23.86,False,,,,,,3650,23.86,59.42,32.51,37.41,0.25,496.82
A_parcel_ring_3700,4050,4030,combo,108.06771648758809,49.96162749746175,48.730447637232345,34.09499995626982,14.635447680962534,0.0,41.58440287642446,12.358075452631741,15.655932002300899,25.885721350214858,False,,,,,,3600,25.885721350214858,58.53402390989557,39.64085653154798,45.61745257720177,0.622486306395668,496.824
A_parcel_ring_3700,4050,4030,rcc,108.07,24.81,29.68,,,0.00,26.71,1.25,26.78,43.56,True,3700,30.79,135.66,55.19,63.51,3500,43.56,87.58,68.79,79.16,1.63,496.82
A_parcel_ring_3700,4120,4100,cfrd,129.40,114.35,155.10,,,0.00,129.25,27.10,11.32,18.21,False,,,,,,3670,18.21,45.09,28.84,34.61,0.14,518.16
A_parcel_ring_3700,4120,4100,combo,129.4037164875881,71.01275723876817,67.1091261198456,46.13097801588769,20.978148103957913,0.0,57.32281497346853,19.715789518384298,18.704451715905776,19.447451603960943,False,,,,,,3670,19.447451603960943,51.71070904355476,37.463784456406756,44.96358828554437,0.3392619782012112,518.1600000000001
A_parcel_ring_3700,4120,4100,rcc,129.40,34.75,41.87,,,0.00,37.69,1.58,36.85,43.22,True,3620,38.85,116.19,75.09,90.13,3470,43.22,80.42,79.64,95.58,1.15,518.16
