line,crest_ft,nwl_ft,type,H_max_m,dam_endarea_Mm3,dam_grid_Mm3,infeasible_m,need_bank_Mm3,wedge_Mm3,net_nocut_Mm3,max_cut_Mm3,balanced,floor_ft,cut_Mm3,pit_acre,net_Mm3,net_GWh,maxnet_floor_ft,maxnet_cut_Mm3,maxnet_pit_acre,maxnet_Mm3,maxnet_GWh,maxnet_surplus_ratio,head_m
A_parcel_ring_3800,3800,3780,cfrd,1.47,0.09,0.08,0.00,0.07,0.00,2.99,22.98,True,3750,20.18,80.81,2.99,2.91,3550,20.93,39.10,11.09,10.81,296.96,420.62
A_parcel_ring_3800,3800,3780,rcc,1.47,0.01,0.01,0.00,0.01,0.00,2.99,22.98,True,3750,20.18,80.80,2.99,2.91,3550,20.93,39.10,11.09,10.81,3237.88,420.62
A_parcel_ring_3800,3850,3830,cfrd,16.71,3.01,3.90,0.00,3.25,0.23,3.02,21.03,True,3800,16.36,82.47,3.02,3.05,3600,20.13,41.99,11.90,12.01,6.20,435.86
A_parcel_ring_3800,3850,3830,rcc,16.71,0.75,0.82,0.00,0.74,0.08,3.29,22.54,True,3800,16.50,89.20,3.29,3.33,3600,21.91,46.96,13.45,13.58,29.75,435.86
A_parcel_ring_3800,3900,3880,cfrd,31.95,7.81,10.17,0.00,8.47,1.16,2.81,19.52,True,3850,11.43,75.44,2.81,2.93,3650,19.37,45.95,13.31,13.91,2.29,451.10
A_parcel_ring_3800,3900,3880,rcc,31.95,2.27,2.56,0.00,2.31,0.24,3.73,22.52,True,3850,11.44,89.11,3.73,3.90,3600,21.89,46.90,17.36,18.14,9.49,451.10
A_parcel_ring_3800,3950,3930,cfrd,47.19,14.64,19.17,0.00,15.98,2.78,2.88,17.97,True,3750,17.28,57.99,13.28,14.35,3650,17.63,40.53,14.78,15.97,1.10,466.34
A_parcel_ring_3800,3950,3930,rcc,47.19,4.52,5.22,0.00,4.70,0.41,5.26,22.45,True,3900,7.49,88.85,5.26,5.68,3650,22.45,56.80,21.95,23.71,4.78,466.34
A_parcel_ring_3800,4000,3980,cfrd,62.43,23.74,30.93,0.00,25.78,5.25,3.08,16.14,False,,,,,,3700,16.14,42.27,15.51,17.31,0.63,481.58
A_parcel_ring_3800,4000,3980,rcc,62.43,7.49,8.78,0.00,7.90,0.59,7.75,22.37,True,3850,11.39,88.64,14.63,16.32,3650,22.37,56.59,26.75,29.84,2.83,481.58
A_parcel_ring_3800,4050,4030,cfrd,77.67,35.09,45.53,0.00,37.94,8.71,3.16,13.95,False,,,,,,3700,13.75,34.45,15.00,17.26,0.36,496.82
A_parcel_ring_3800,4050,4030,rcc,77.67,11.18,13.27,0.00,11.94,0.79,11.09,22.23,True,3800,16.32,88.33,25.03,28.80,3650,22.23,56.27,31.60,36.36,1.86,496.82
A_parcel_ring_3800,4120,4100,cfrd,99.00,54.96,69.81,0.00,58.17,15.45,2.69,10.59,False,,,,,,3770,10.59,32.59,12.60,15.12,0.18,518.16
A_parcel_ring_3800,4120,4100,rcc,99.00,17.57,21.17,0.00,19.06,1.09,17.07,22.02,True,3720,20.96,70.99,37.42,44.91,3670,22.02,60.18,38.56,46.28,1.16,518.16
