reach,sta_from,sta_to,length_m,H_min,H_max,cfrd_closes_frac,cfrd_toe_us_max,cfrd_toe_ds_max,cfrd_base_max,cfrd_vol_Mm3,cfrd_toe_ds_out_frac,cfrd_toe_ds_over_m,rcc_closes_frac,rcc_toe_us_max,rcc_toe_ds_max,rcc_base_max,rcc_vol_Mm3,rcc_toe_ds_out_frac,rcc_toe_ds_over_m
1,0.0,606.0,607.2021658178663,127.02050484209008,129.4037164875881,1.0,176.0,-654.0,778.0,30.10930019192319,0.09836065573770492,68.56839150517379,1.0,4.0,-213.0,217.0,7.977776397359839,0.01639344262295082,5.03171922883285
2,615.84,1881.83,1275.9846473626344,126.6100715727971,129.34754395275127,1.0,255.0,-424.0,588.0,34.17052033984395,0.0,0.0,1.0,4.0,-225.0,229.0,13.449141823353596,0.0,0.0
3,1891.81,2292.85,411.03633623429937,127.22469422391305,128.87366389756744,1.0,528.0,-600.0,754.0,13.05242174186574,0.0,0.0,1.0,4.0,-206.0,210.0,4.116683859077144,0.0,0.0
4,2302.83,2695.16,402.32602493635113,126.47094867506098,129.03749394475767,1.0,238.0,-724.0,931.0,27.060232820973543,0.8536585365853658,258.70983670092653,1.0,4.0,-311.0,315.0,6.248031988938696,0.0,0.0
5,2705.14,2893.39,188.2692621783317,85.94642239773611,128.13885149351768,1.0,151.0,-284.0,427.0,2.9254790398191854,1.0,142.0000000000476,1.0,4.0,-105.0,109.0,1.041000865875781,0.7894736842105263,90.99999999998252
6,2903.38,3322.69,409.3489050545827,34.535210956283436,72.5699449221504,1.0,160.0,-94.0,235.0,2.45456333232296,1.0,94.00000000009882,1.0,4.0,-56.0,60.0,0.6017248716753729,1.0,55.99999999999788
7,3332.68,3482.43,139.7886397471434,15.004301580240963,26.513221137372966,1.0,78.0,-35.0,106.0,0.12663487996631373,1.0,35.00000000004913,1.0,4.0,-21.0,25.0,0.03063598064117028,1.0,21.00000000005761
8,3492.42,3761.98,269.57727949335094,3.1165568697695107,46.0449678271018,1.0,131.0,-49.0,167.0,0.5337274450456317,1.0,48.99999999997334,1.0,4.0,-34.0,38.0,0.13441620798806278,1.0,33.99999999998124
9,3771.96,4109.77,337.82599437463887,-34.842179869371876,-1.7129068849747,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,0.0,0.0,0.0
10,4119.76,4229.58,109.8374151897533,2.2831519913063403,24.466437629366965,1.0,63.0,-29.0,92.0,0.057635241810652035,1.0,29.000000000348727,1.0,4.0,-20.0,24.0,0.018509113044900168,1.0,19.999999999992394
11,4239.56,4339.4,109.8374151897533,-13.590135197798418,-0.022766150656025275,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,0.0,0.0,0.0
12,4349.38,4588.99,239.6260549364588,3.9363888986958955,120.95624782936807,1.0,182.0,-172.0,354.0,1.3285981732006362,1.0,171.99999999902815,1.0,4.0,-95.0,99.0,0.38722597601731235,1.0,94.99999999908549
