site,E,N,z_floor_ft,acc_ha,valley_grade_tan,ux,uy,vx,vy,crest_ft,nwl_ft,H_max_m,abut_L,abut_R,dam_len_m,fill_cfrd_Mm3,fill_rcc_Mm3,gross_Mm3,water_acre,water_out_acre,spill,abut_in_parcel,eff_cfrd,head_m
0,686474.0,4356266.0,3653.914403484321,27.0576,0.32088434080176664,-0.8172009432361134,-0.5763528592572496,0.7682212795973759,-0.6401843996644799,3800.0,3780.0,44.52688981797883,212.0,72.0,284.0,0.4126139163474738,0.13393391411636704,0.08991146309179691,1.8226492937018115,0.0,False,True,0.2179070058705435,420.624
0,686474.0,4356266.0,3653.914403484321,27.0576,0.32088434080176664,-0.8172009432361134,-0.5763528592572496,0.7682212795973759,-0.6401843996644799,3850.0,3830.0,59.766889817978836,236.0,104.0,340.0,0.9733200648377975,0.30277359332788684,0.43842939993945346,6.7133590036999475,0.0,False,True,0.4504473048262055,435.86400000000003
0,686474.0,4356266.0,3653.914403484321,27.0576,0.32088434080176664,-0.8172009432361134,-0.5763528592572496,0.7682212795973759,-0.6401843996644799,3900.0,3880.0,75.00688981797884,260.0,300.0,560.0,1.9022191152487489,0.5804854047508915,0.9923114311406259,11.536856049939015,0.0,False,True,0.5216598987918717,451.10400000000004
0,686474.0,4356266.0,3653.914403484321,27.0576,0.32088434080176664,-0.8172009432361134,-0.5763528592572496,0.7682212795973759,-0.6401843996644799,3950.0,3930.0,90.24688981797885,286.0,350.0,636.0,3.3479667542638496,1.005644163193285,1.9471002353789089,19.582607270509918,0.0,False,True,0.581576932596225,466.34400000000005
0,686474.0,4356266.0,3653.914403484321,27.0576,0.32088434080176664,-0.8172009432361134,-0.5763528592572496,0.7682212795973759,-0.6401843996644799,4000.0,3980.0,105.48688981797886,316.0,456.0,772.0,5.411773316331126,1.60664006490458,3.4674987104531296,30.301050297029683,1.2295963781806147,False,False,0.6407324379218264,481.584
1,686502.0,4356250.0,3685.922525338575,26.352,0.2993260701497396,-0.9196152422706632,-0.3928203230275511,0.8,-0.6,3800.0,3780.0,34.77081427680241,232.0,56.0,288.0,0.33097964642227873,0.1100431643642408,0.04207127954589846,1.1070321089729007,0.0,False,True,0.12711137981041296,420.624
1,686502.0,4356250.0,3685.922525338575,26.352,0.2993260701497396,-0.9196152422706632,-0.3928203230275511,0.8,-0.6,3850.0,3830.0,50.01081427680242,254.0,82.0,336.0,0.8323269283126091,0.26419490295527764,0.3555764089199222,5.8870386080737465,0.0,False,True,0.42720762338038065,435.86400000000003
1,686502.0,4356250.0,3685.922525338575,26.352,0.2993260701497396,-0.9196152422706632,-0.3928203230275511,0.8,-0.6,3900.0,3880.0,65.25081427680243,278.0,122.0,400.0,1.6426986885859538,0.5064818963190928,0.8509432468085947,10.386333393827893,0.0,False,True,0.5180154173867957,451.10400000000004
1,686502.0,4356250.0,3685.922525338575,26.352,0.2993260701497396,-0.9196152422706632,-0.3928203230275511,0.8,-0.6,3950.0,3930.0,80.49081427680244,300.0,208.0,508.0,2.825695342915089,0.8556529051973629,1.6619394711210957,16.22197408255647,0.0,False,True,0.5881523906277099,466.34400000000005
1,686502.0,4356250.0,3685.922525338575,26.352,0.2993260701497396,-0.9196152422706632,-0.3928203230275511,0.8,-0.6,4000.0,3980.0,95.73081427680245,328.0,352.0,680.0,4.4922845345942966,1.3476616429327768,2.908332039390629,24.813333985406874,0.24117485231195337,False,False,0.6474060173602258,481.584
2,686530.0,4356230.0,3714.925544051252,25.5952,0.2759064330208162,-0.8682545587839927,-0.49611895866900146,0.8637789008984335,-0.5038710255240862,3850.0,3830.0,41.17069417317839,264.0,70.0,334.0,0.37831032058400405,0.1266247294180555,0.07266486112109385,1.7712513743566412,0.0,False,True,0.1920773956389027,435.86400000000003
2,686530.0,4356230.0,3714.925544051252,25.5952,0.2759064330208162,-0.8682545587839927,-0.49611895866900146,0.8637789008984335,-0.5038710255240862,3900.0,3880.0,56.4106941731784,288.0,102.0,390.0,0.9395945447971624,0.3012092869834043,0.4050070264931647,6.697544259286049,0.0,False,True,0.4310444635250588,451.10400000000004
2,686530.0,4356230.0,3714.925544051252,25.5952,0.2759064330208162,-0.8682545587839927,-0.49611895866900146,0.8637789008984335,-0.5038710255240862,3950.0,3930.0,71.65069417317841,314.0,178.0,492.0,1.8429836324224587,0.5745990640857898,0.9711888279306655,11.963854149114276,0.0,False,True,0.5269655198478965,466.34400000000005
