E,H_max_m,N,abut_in_parcel,cfrd_infeasible_m,cfrd_toe_ds_m,crest_ft,cut_over_need_cfrd,cut_over_need_rcc,dam_len_m,deep_cut_Mm3,deep_floor_ft,deep_gross_Mm3,deep_net_cfrd_Mm3,deep_net_rcc_GWh,deep_net_rcc_Mm3,fill_cfrd_Mm3,fill_rcc_Mm3,gross_Mm3,head_m,net_cfrd_GWh,net_cfrd_Mm3,net_rcc_GWh,net_rcc_Mm3,nwl_ft,pit_top_acre,rcc_infeasible_m,rcc_toe_ds_m,site,spill,valley_grade_tan,water_acre,water_out_acre,wedge_cfrd_Mm3,wedge_rcc_Mm3,z_floor_ft,curve
686602.0,32.437798868814525,4356426.0,True,0.0,-207.0,3900.0,0.0005456687168374206,0.0014034391861908705,560.0,0.0012494412439987982,3830.0,2.626830437358259,1.536984644547795,2.6439686865730727,2.5304292376349196,2.747691862359916,0.9891900287147508,2.6255809961142598,451.10400000000004,1.6046430890113639,1.5357352033037959,2.642663183350255,2.5291797963909204,3880.0,1.9709287618052078,0.0,-104.0,29,False,0.24075387097521647,21.911081280075017,0.0,1.089845792810464,0.0964011997233391,3793.5767753647815,3830:0.00:2.63;3780:0.03:2.66;3730:0.06:2.69;3680:0.07:2.70;3630:0.07:2.70;3580:0.07:2.70;3530:0.07:2.70;3480:0.07:2.70;3430:0.07:2.70;3380:0.07:2.70;3330:0.07:2.70;3280:0.07:2.70;3230:0.07:2.70
686602.0,47.677798868814534,4356426.0,False,0.0,-233.0,3950.0,0.024348253656908615,0.06406263066397588,717.0,0.0845865431158548,3830.0,4.337793740504531,2.684705950703693,4.541609338716068,4.2045347713191035,4.16883498789347,1.4670806823322606,4.253207197388676,466.34400000000005,2.808569134409375,2.6001194075878376,4.450241552495061,4.119948228203249,3930.0,5.992849808041053,0.0,-118.0,29,False,0.24075387097521647,31.349271325213397,0.09142899114285118,1.6530877898008383,0.1332589691854274,3793.5767753647815,3880:0.01:4.26;3830:0.08:4.34;3780:0.20:4.45;3730:0.28:4.53;3680:0.31:4.56;3630:0.31:4.56;3580:0.31:4.56;3530:0.31:4.56;3480:0.31:4.56;3430:0.31:4.56;3380:0.31:4.56;3330:0.31:4.56;3280:0.31:4.56
686602.0,62.91779886881454,4356426.0,False,0.0,-264.0,4000.0,0.1270834897053627,0.3408870095353704,838.0,0.6447604742917386,3780.0,7.203109079599364,4.79245777884705,7.836924852307337,7.025677337378249,6.0882225609629055,2.101577669290701,6.558348605307625,481.584,4.62662751575317,4.147697304555311,7.117714569495234,6.38091686308651,3980.0,10.815187590903266,0.0,-133.0,29,False,0.24075387097521647,43.740123573502935,1.8747885291913833,2.4106513007523143,0.17743174222111527,3793.5767753647815,3930:0.02:6.58;3880:0.18:6.74;3830:0.42:6.98;3780:0.64:7.20;3730:0.80:7.35;3680:0.86:7.42;3630:0.89:7.45;3580:0.89:7.45;3530:0.89:7.45;3480:0.89:7.45;3430:0.89:7.45;3380:0.89:7.45;3330:0.89:7.45
686530.0,41.17069417317839,4356230.0,True,0.0,-102.0,3850.0,,,333.0,,,,,,,0.3471795554887347,0.1335094418851336,0.08311659923437512,435.86400000000003,-0.00898336503269583,-0.008898209259068637,0.06594084532265213,0.06531577401845326,3830.0,,0.0,-48.0,2,False,0.2759064330208162,1.9214914462886776,0.0,0.09201480849344375,0.01780082521592185,3714.925544051252,
686530.0,56.4106941731784,4356230.0,True,0.0,-144.0,3900.0,,,390.0,,,,,,,0.8510124411878303,0.3113949133665747,0.4470737450419929,451.10400000000004,0.21384167627486617,0.20465871347823464,0.4278347025928467,0.4094622776032106,3880.0,,0.0,-64.0,2,False,0.2759064330208162,7.103785506418069,0.0,0.24241503156375824,0.0376114674387823,3714.925544051252,
686530.0,71.65069417317841,4356230.0,True,0.0,-183.0,3950.0,,,490.0,,,,,,,1.673630690070997,0.5829568646329947,1.0407487171826189,466.34400000000005,0.5964872567850539,0.5522164556122994,1.0576861034156797,0.9791854973174432,3930.0,,0.0,-79.0,2,False,0.2759064330208162,12.43434279542776,0.0,0.4885322615703194,0.06156321986517559,3714.925544051252,
686530.0,86.89069417317842,4356230.0,False,0.0,-214.0,4000.0,0.06189058863979922,0.16575348759952074,673.0,0.14815266921959885,3830.0,2.1884669783172583,1.3237091113323645,2.3360681692063485,2.0942476167972446,2.872540186977536,0.9931258720081455,2.04031430909766,481.584,1.311296698393698,1.1755564421127658,2.1708084683137927,1.946094947577646,3980.0,3.097604788092448,0.0,-95.0,2,False,0.2759064330208162,20.663199103665832,0.33037989502160003,0.8647578669848939,0.09421936152001378,3714.925544051252,3930:0.01:2.05;3880:0.07:2.11;3830:0.15:2.19;3780:0.19:2.23;3730:0.21:2.25;3680:0.21:2.25;3630:0.21:2.25;3580:0.21:2.25;3530:0.21:2.25;3480:0.21:2.25;3430:0.21:2.25;3380:0.21:2.25;3330:0.21:2.25
686530.0,102.13069417317843,4356230.0,False,0.0,-244.0,4050.0,0.12604412751388516,0.3366926524801307,750.0,0.4729407722235156,3830.0,4.122298292270397,2.70233645694004,4.587767020286868,3.986698159954876,4.502620930163519,1.560740167758868,3.6493575200468813,496.824,2.5655185286533193,2.2293956847165246,4.043521634681702,3.513757387731361,4030.0,6.130219155147489,0.0,-110.0,2,False,0.2759064330208162,31.589457755999483,2.526158314738831,1.4199618353303567,0.13560013231552048,3714.925544051252,3980:0.02:3.67;3930:0.15:3.80;3880:0.33:3.98;3830:0.47:4.12;3780:0.56:4.21;3730:0.60:4.25;3680:0.61:4.26;3630:0.61:4.26;3580:0.61:4.26;3530:0.61:4.26;3480:0.61:4.26;3430:0.61:4.26;3380:0.61:4.26
686378.0,37.235266452365295,4356014.0,True,0.0,-119.0,4000.0,,,166.0,,,,,,,0.1891597428619917,0.07001058563628877,0.049192141616211146,481.584,0.009453832762244195,0.008475209325186762,0.045020817849080116,0.04036044055971662,3980.0,,0.0,-50.0,30,False,0.40744500871706274,1.2577663916678716,0.0,0.04071693229102439,0.008831701056494527,3877.8370523216363,
686378.0,52.475266452365304,4356014.0,True,0.0,-148.0,4050.0,0.05448279390356303,0.13909698770710843,513.0,0.054923504680019775,3930.0,0.9931246644290459,0.6054776339957836,1.0835737073880924,0.9416086924896797,1.2097067880308081,0.4387306822174582,0.938201159749026,496.824,0.6335603991113791,0.5505541293157638,1.0203694633496072,0.8866851878096598,4030.0,1.5691201685386875,0.0,-68.0,30,False,0.40744500871706274,13.125743652772888,1.227125324365943,0.3876470304332622,0.05151597193936616,3877.8370523216363,3980:0.01:0.95;3930:0.05:0.99;3880:0.08:1.01;3830:0.08:1.02;3780:0.08:1.02;3730:0.08:1.02;3680:0.08:1.02;3630:0.08:1.02;3580:0.08:1.02;3530:0.08:1.02;3480:0.08:1.02;3430:0.08:1.02;3380:0.08:1.02
