site,H_m,abut_in_parcel,crest_ft,cut_over_need,dam_len_m,deep_cut_Mm3,deep_floor_ft,deep_net_Mm3,feasible,fill_rcc_Mm3,floor_ft,gross_Mm3,gwh_deep,gwh_nat,need_Mm3,net_Mm3,nwl_ft,spill,toe_out_m,water_acre,water_out_acre,wedge_Mm3
S29,20,True,3859.193573265044,0.7343265053838348,497.0,0.46322559618735615,3589.193573265044,2.0804053735510974,True,0.7009077067234654,3793.5767753647815,1.68892985833154,2.113817907898663,1.6431526360884436,0.6308169360511189,1.6171797773637413,3839.193573265044,False,0.0,15.381074469423707,0.0,0.07175008096779864
S29,30,True,3892.0019722151756,0.8507586966907728,547.0,0.7097337124359427,3622.0019722151756,3.034688622083776,True,0.9269291244216875,3793.5767753647815,2.416262416909067,3.1537184820835313,2.4161468215254676,0.8342362119795189,2.3249549096478335,3872.0019722151756,False,0.0,20.55027194433534,0.0,0.09130750726123354
S29,40,False,3924.8103711653066,1.150131209623536,688.0,1.2496136805003015,3604.8103711653066,4.498854819155465,True,1.2072184750597363,3793.5767753647815,3.3623296599701975,4.779518524040176,3.4519469588465266,1.0864966275537626,3.2492411386551634,3904.8103711653066,False,0.0,26.216398341377438,0.0,0.1130885213150339
S29,50,False,3957.6187701154377,1.5290443475750308,728.0,2.135784319644394,3587.6187701154377,6.552160058742663,True,1.552011027186589,3793.5767753647815,4.556039549012532,7.112684826463073,4.7941882411022485,1.3968099244679302,4.416375739098267,3937.6187701154377,False,20.0,33.12941849330286,0.1611127087165918,0.13966380991426425
S29,60,False,3990.427169065569,1.9570774822462031,813.0,3.463153182437606,3570.427169065569,9.351285742697625,True,1.966170483996275,3793.5767753647815,6.056729630517475,10.367869517803287,6.528234915287076,1.7695534355966476,5.888132560260018,3970.427169065569,False,80.0,41.218413155630515,1.2921140396918076,0.16859707025745785
S29,70,,4023.2355680157,,,,,,False,,3793.5767753647815,,,,,,4003.2355680157,,,,,
S29,80,,4056.0439669658317,,,,,,False,,3793.5767753647815,,,,,,4036.0439669658317,,,,,
S29,90,,4088.8523659159628,,,,,,False,,3793.5767753647815,,,,,,4068.8523659159628,,,,,
S29,100,,4121.660764866094,,,,,,False,,3793.5767753647815,,,,,,4101.660764866094,,,,,
S29,110,,4154.469163816225,,,,,,False,,3793.5767753647815,,,,,,4134.469163816225,,,,,
S29,120,,4187.277562766357,,,,,,False,,3793.5767753647815,,,,,,4167.277562766357,,,,,
S29,130,,4220.085961716488,,,,,,False,,3793.5767753647815,,,,,,4200.085961716488,,,,,
S2,20,True,3780.542341951514,0.0,79.0,0.0,nan,0.0030174009398594532,True,0.011657834573021802,3714.925544051252,0.004583130302407655,0.0028983142922619056,0.0028983142922619056,0.010492051115719624,0.0030174009398594532,3760.542341951514,False,0.0,0.22931379400152943,0.0,0.001565729362548202
S2,30,True,3813.3507409016456,0.0,116.0,0.0,nan,0.0192655856519714,True,0.03170414499257729,3714.925544051252,0.02370008477994373,0.018951477031681103,0.018951477031681103,0.028533730493319562,0.0192655856519714,3793.3507409016456,False,0.0,0.8001272251906814,0.0,0.004434499127972332
S2,40,True,3846.1591398517767,0.0,161.0,0.0,nan,0.06546162208654449,True,0.06607609317254681,3714.925544051252,0.07434811696841517,0.0659105820868288,0.0659105820868288,0.05946848385529213,0.06546162208654449,3826.1591398517767,False,0.0,1.7801471680894592,0.0,0.008886494881870686
S2,50,True,3878.967538801908,0.0016197926165807822,363.0,0.00032875801194772136,3808.967538801908,0.25899960009121326,True,0.22551447401519567,3714.925544051252,0.28724645353350114,0.26677499331753995,0.26643636570417856,0.2029630266136761,0.2586708420792655,3858.967538801908,False,0.0,5.253460409991935,0.0,0.028575611454235633
S2,60,True,3911.775937752039,0.07282585429399753,403.0,0.023993106521738066,3791.775937752039,0.5393728514484384,True,0.3660651495930742,3714.925544051252,0.5583667233010636,0.5680585171707558,0.542789376396507,0.3294586346337668,0.5153797449267002,3891.775937752039,False,0.0,8.24392973650757,0.0,0.04298697837436338
S2,70,True,3944.5843367021703,0.2140417174234182,469.0,0.10557048295108552,3774.5843367021703,1.0066575453031694,True,0.5480265156921388,3714.925544051252,0.9599031595779007,1.0835116910102587,0.9698813377319244,0.4932238641229249,0.9010870623520841,3924.5843367021703,False,0.0,11.761474841692669,0.0,0.05881609722581663
S2,80,False,3977.392735652302,0.5385627929677556,644.0,0.3821257715338871,3757.392735652302,1.8295794828829852,True,0.7883652493955858,3714.925544051252,1.5249147588615684,2.0116379543173903,1.5914874702678559,0.7095287244560272,1.4474537113490982,3957.392735652302,False,20.0,16.34503256252712,0.0,0.07746104751246996
S2,90,False,4010.201134602433,0.917341622556811,685.0,0.904410012359817,3740.201134602433,3.1154672738571203,True,1.0954479651018958,3714.925544051252,2.3135455181242293,3.497644353618109,2.4822895785478343,0.9859031685917063,2.2110572614973028,3990.201134602433,False,40.0,22.809309341708165,0.5782265926331669,0.10248825662692632
S2,100,False,4043.0095335525643,1.3284681137647305,737.0,1.7588016156117212,3723.0095335525643,5.012615092602119,True,1.4710356967532356,3714.925544051252,3.3835153205175836,5.74362164217125,3.7283280604593507,1.323932127077912,3.2538134769903966,4023.0095335525643,False,60.0,30.07544308375016,2.065059672921101,0.12970184352718714
S2,110,,4075.8179325026954,,,,,,False,,3714.925544051252,,,,,,4055.8179325026954,,,,,
S2,120,,4108.626331452827,,,,,,False,,3714.925544051252,,,,,,4088.626331452827,,,,,
S2,130,,4141.434730402958,,,,,,False,,3714.925544051252,,,,,,4121.434730402958,,,,,
