station_m,E,N,z_ground_ft,H_axis_m,kind,area_m2,H_max_m,toe_us_m,toe_ds_m,base_width_m,area_us_below_nwl_m2,note
0,685936.8,4355885.2,3700,91.4,rockfill,27723.764716255202,97.11680949272454,70.0,-372.0,442.0,3307.4293536256428,
10,685936.8,4355895.2,3700,91.3,rockfill,28105.7265229767,97.0751485593205,71.0,-371.0,442.0,3319.504633473286,
20,685936.9,4355905.2,3701,91.1,rockfill,28617.18913166313,96.99816375892715,72.0,-372.0,444.0,3313.89939076847,
30,685936.9,4355915.1,3702,90.9,rockfill,29373.053462046337,97.11982180957511,72.0,-374.0,446.0,3300.838570929114,
40,685936.9,4355925.1,3702,90.7,rockfill,30118.948742985147,96.87396001712295,71.0,-378.0,449.0,3287.405332670114,
50,685936.9,4355935.1,3700,91.3,rockfill,33232.74660129448,97.29482768707976,72.0,-399.0,471.0,3315.1111213769154,
60,685939.6,4355944.7,3701,91.0,rockfill,35833.861716326166,100.73391407419422,72.0,-430.0,502.0,3282.5496568764484,
70,685942.7,4355954.1,3699,91.9,rockfill,34586.0901456502,99.64473167220126,71.0,-433.0,504.0,3269.4922290408367,
80,685945.9,4355963.6,3695,92.8,rockfill,33966.52229971567,97.6099492528283,72.0,-434.0,506.0,3348.3531665196706,
90,685948.7,4355973.1,3700,91.5,rockfill,33494.662475797035,97.11441273456967,74.0,-401.0,475.0,3392.453603853443,
100,685946.3,4355982.8,3700,91.5,rockfill,26451.04030662264,97.32699436811481,72.0,-391.0,463.0,3272.3790636475087,
110,685942.4,4355991.9,3701,91.3,rockfill,24647.626023601362,98.57405040441836,76.0,-388.0,464.0,3361.908604676475,
120,685937.9,4356000.9,3700,91.4,rockfill,25347.159793455496,99.83736217242631,81.0,-388.0,469.0,3552.644334953452,
130,685933.5,4356009.8,3700,91.6,rockfill,26933.152990896957,100.8748498875957,86.0,-389.0,475.0,3768.0837883207078,
140,685929.1,4356018.8,3700,91.3,rockfill,32168.61614912156,101.37073496803282,85.0,-377.0,462.0,3860.315484692307,
150,685927.3,4356028.5,3700,91.4,rockfill,36207.23573679398,94.17058651989464,80.0,-412.0,492.0,3740.7523416302683,
159,685930.6,4356037.4,3702,90.7,rockfill,40157.36345694063,93.33800083548226,83.0,-471.0,554.0,3810.664160021536,
169,685936.0,4356045.8,3701,91.2,rockfill,43332.304503179126,94.3741173592673,82.0,-509.0,591.0,3718.0326666880583,
179,685941.4,4356054.1,3700,91.5,rockfill,43168.179374085616,94.79797501023904,79.0,-518.0,597.0,3559.4040728994496,
189,685946.8,4356062.5,3700,91.4,rockfill,42041.64731261339,94.68430661211391,75.0,-504.0,579.0,3448.108868430578,
199,685951.3,4356071.4,3699,91.7,rockfill,41053.656245931794,94.8500416445961,75.0,-481.0,556.0,3467.1964822743657,
209,685955.4,4356080.5,3699,91.7,rockfill,39399.93632594364,94.62353717766473,77.0,-474.0,551.0,3613.1144154732538,
218,685955.4,4356090.1,3699,91.8,rockfill,32788.35428838922,94.61264825825515,78.0,-426.0,504.0,3651.5637722401752,
228,685953.5,4356099.9,3700,91.4,rockfill,31766.69391409609,94.28683834806975,80.0,-420.0,500.0,3696.627941205159,
238,685951.6,4356109.7,3701,91.1,rockfill,32787.3103491276,93.8789294984972,82.0,-423.0,505.0,3764.6306920801726,
