station_m,E,N,z_ground_ft,H_axis_m,kind,area_m2,H_max_m,toe_us_m,toe_ds_m,base_width_m,area_us_below_nwl_m2,note
0,685936.8,4355885.2,3700,128.0,cfrd,38011.89437095264,131.67351076172918,92.0,-375.0,467.0,6020.30441522189,
10,685936.8,4355895.2,3700,127.9,cfrd,38412.45894127858,131.55107561117347,92.0,-374.0,466.0,6055.584668370944,
20,685936.9,4355905.2,3701,127.7,cfrd,38932.5168740349,131.1358899795141,92.0,-374.0,466.0,6056.232687822495,
30,685936.9,4355915.1,3702,127.4,cfrd,39701.82327798425,130.88165295709405,93.0,-377.0,470.0,6047.629403006949,
40,685936.9,4355925.1,3702,127.3,cfrd,40475.13771920436,130.91939826536577,94.0,-380.0,474.0,6049.673202712487,
50,685936.9,4355935.1,3700,127.9,cfrd,43643.3165379112,131.5583479537811,94.0,-400.0,494.0,6083.706403297744,
60,685939.6,4355944.7,3701,127.6,cfrd,46241.94189227601,132.23234877894424,93.0,-429.0,522.0,6046.722922101094,
70,685942.7,4355954.1,3699,128.4,cfrd,44974.68509567529,133.02896844640918,93.0,-432.0,525.0,6018.521646704414,
80,685945.9,4355963.6,3695,129.4,cfrd,44398.063153599265,132.76743666515358,95.0,-432.0,527.0,6141.498345458553,
90,685948.7,4355973.1,3700,128.1,cfrd,43984.95329151729,131.43912924151846,97.0,-402.0,499.0,6238.450798163833,
100,685946.3,4355982.8,3700,128.0,cfrd,36891.21758449016,131.81744199843706,96.0,-392.0,488.0,6084.659590080944,
110,685942.4,4355991.9,3701,127.8,cfrd,35234.36931118384,132.04945958207531,103.0,-390.0,493.0,6326.204101288814,
120,685937.9,4356000.9,3700,128.0,cfrd,36102.73055205896,132.2608637534804,110.0,-390.0,500.0,6686.082353265331,
130,685933.5,4356009.8,3700,128.1,cfrd,37838.83659586079,131.75376956528658,114.0,-390.0,504.0,7050.6777117600295,
140,685929.1,4356018.8,3700,127.9,cfrd,42999.38097045738,131.63467076563188,112.0,-380.0,492.0,7098.642780749837,
150,685927.3,4356028.5,3700,128.0,cfrd,46885.52846437994,130.74658651989466,103.0,-412.0,515.0,6766.869354930507,
159,685930.6,4356037.4,3702,127.3,cfrd,50822.49572388944,129.91400083548228,108.0,-467.0,575.0,6951.378952730723,
169,685936.0,4356045.8,3701,127.8,cfrd,53756.63916839773,130.86042656353266,108.0,-501.0,609.0,6851.83667778048,
179,685941.4,4356054.1,3700,128.1,cfrd,53412.84354285529,131.08833247512666,104.0,-510.0,614.0,6585.736526728708,
189,685946.8,4356062.5,3700,128.0,cfrd,52286.03964126747,131.23592767214927,100.0,-495.0,595.0,6357.864706263087,
199,685951.3,4356071.4,3699,128.3,cfrd,51413.65604808091,131.42604164459613,99.0,-475.0,574.0,6351.343728119471,
209,685955.4,4356080.5,3699,128.3,cfrd,49856.64046392808,131.19953717766475,101.0,-471.0,572.0,6563.70070478422,
218,685955.4,4356090.1,3699,128.3,cfrd,43417.89240410403,131.18864825825517,102.0,-425.0,527.0,6633.725465794611,
228,685953.5,4356099.9,3700,128.0,cfrd,42477.47206296609,130.8608441360168,106.0,-420.0,526.0,6755.836661503717,
238,685951.6,4356109.7,3701,127.7,cfrd,43569.58213423718,130.45492949849722,109.0,-422.0,531.0,6896.440031265849,
248,685949.7,4356119.5,3700,128.0,cfrd,48783.93169419654,131.06079318606567,106.0,-440.0,546.0,6891.533016117706,
258,685951.4,4356129.3,3701,127.7,cfrd,53082.35762479766,130.4574446554343,105.0,-469.0,574.0,6817.642464018305,
268,685953.5,4356139.0,3700,127.9,cfrd,57118.53952322542,130.94758633519768,106.0,-491.0,597.0,6889.260856413175,
278,685958.9,4356147.4,3703,127.1,cfrd,53513.29463902702,130.20116704242787,108.0,-550.0,658.0,6875.4892825609495,
288,685964.4,4356155.7,3703,127.1,cfrd,52092.047067547566,130.00069518823034,105.0,-552.0,657.0,6680.599438010398,
298,685969.9,4356164.1,3703,127.1,cfrd,50788.88711397347,130.50106993270606,103.0,-556.0,659.0,6556.438231267441,
308,685975.3,4356172.4,3701,127.6,cfrd,49594.262761394275,130.95664998583766,103.0,-559.0,662.0,6509.7700418799095,
318,685980.7,4356180.8,3700,128.1,cfrd,52053.484258889715,131.31560859586466,103.0,-542.0,645.0,6531.295799097374,
328,685984.2,4356190.2,3699,128.4,cfrd,55230.84229544577,131.77908158839114,101.0,-492.0,593.0,6482.999876047947,
338,685985.7,4356199.9,3699,128.2,cfrd,51724.319529314846,131.5359305509362,101.0,-475.0,576.0,6474.466161751761,
348,685985.6,4356209.9,3700,127.9,cfrd,50610.230552322595,131.20942673931745,103.0,-476.0,579.0,6543.631406237731,
358,685985.5,4356219.9,3702,127.5,cfrd,52014.93816831957,130.88716726187795,104.0,-478.0,582.0,6607.382864950178,
