station_m,E,N,z_ground_ft,H_axis_m,kind,area_m2,H_max_m,toe_us_m,toe_ds_m,base_width_m,area_us_below_nwl_m2,note
0,685936.8,4355885.2,3700,128.0,rockfill,44833.692915545704,133.69280949272456,97.0,-398.0,495.0,6370.979383262668,
10,685936.8,4355895.2,3700,127.9,rockfill,45228.57700494277,133.65114855932052,98.0,-399.0,497.0,6408.829038986269,
20,685936.9,4355905.2,3701,127.7,rockfill,45797.49434975159,133.57416375892717,98.0,-401.0,499.0,6410.996436168289,
30,685936.9,4355915.1,3702,127.4,rockfill,46676.13071156746,133.69582180957514,99.0,-405.0,504.0,6406.93333777137,
40,685936.9,4355925.1,3702,127.3,rockfill,47578.45930397505,133.44996001712298,101.0,-408.0,509.0,6420.274723914878,
50,685936.9,4355935.1,3700,127.9,rockfill,51521.52801351711,133.87082768707978,100.0,-431.0,531.0,6452.818737661486,
60,685939.6,4355944.7,3701,127.6,rockfill,55542.164582046404,137.30991407419424,100.0,-492.0,592.0,6413.011009714206,
70,685942.7,4355954.1,3699,128.4,rockfill,54630.583178010755,136.22073167220128,100.0,-508.0,608.0,6383.460733729276,
80,685945.9,4355963.6,3695,129.4,rockfill,54141.011479023786,134.18594925282832,102.0,-509.0,611.0,6522.218401956665,
90,685948.7,4355973.1,3700,128.1,rockfill,51931.67203417196,133.6904127345697,104.0,-431.0,535.0,6637.2598085735535,
100,685946.3,4355982.8,3700,128.0,rockfill,44338.2550771566,133.90299436811483,103.0,-414.0,517.0,6477.278900309528,
110,685942.4,4355991.9,3701,127.8,rockfill,42692.12363385678,135.15005040441838,112.0,-414.0,526.0,6785.777075378701,
120,685937.9,4356000.9,3700,128.0,rockfill,43613.4697990218,136.41336217242633,120.0,-413.0,533.0,7215.207469681693,
130,685933.5,4356009.8,3700,128.1,rockfill,45449.32293014389,137.45084988759572,124.0,-416.0,540.0,7622.231811117965,
140,685929.1,4356018.8,3700,127.9,rockfill,50227.80774510854,137.94673496803284,122.0,-405.0,527.0,7648.8574005888995,
150,685927.3,4356028.5,3700,128.0,rockfill,55963.04563009043,130.74658651989466,111.0,-469.0,580.0,7220.5572402910875,
159,685930.6,4356037.4,3702,127.3,rockfill,61601.713638139496,129.91400083548228,117.0,-505.0,622.0,7453.726812649946,
169,685936.0,4356045.8,3701,127.8,rockfill,66174.86534467059,130.95011735926732,118.0,-543.0,661.0,7358.893973204345,
179,685941.4,4356054.1,3700,128.1,rockfill,66141.79753940618,131.37397501023906,113.0,-553.0,666.0,7052.366887553524,
189,685946.8,4356062.5,3700,128.0,rockfill,64406.48154989284,131.26030661211394,107.0,-538.0,645.0,6780.611108367519,
199,685951.3,4356071.4,3699,128.3,rockfill,62668.13447750347,131.42604164459613,105.0,-521.0,626.0,6761.660018130576,
209,685955.4,4356080.5,3699,128.3,rockfill,60553.36957277794,131.19953717766475,108.0,-500.0,608.0,6994.766592768353,
218,685955.4,4356090.1,3699,128.3,rockfill,52270.831537021244,131.18864825825517,110.0,-456.0,566.0,7080.88002323864,
228,685953.5,4356099.9,3700,128.0,rockfill,51143.17169153865,130.86283834806977,115.0,-448.0,563.0,7242.704066803847,
238,685951.6,4356109.7,3701,127.7,rockfill,52345.60388577963,130.45492949849722,119.0,-450.0,569.0,7413.067367755801,
248,685949.7,4356119.5,3700,128.0,rockfill,59140.196033576714,131.06079318606567,116.0,-498.0,614.0,7382.178232519785,
258,685951.4,4356129.3,3701,127.7,rockfill,64028.14644943882,130.4574446554343,113.0,-510.0,623.0,7290.479038992912,
268,685953.5,4356139.0,3700,127.9,rockfill,68950.86466057034,143.47310495989518,114.0,-532.0,646.0,7372.652940693076,
