station_m,E,N,z_ground_ft,H_axis_m,kind,area_m2,H_max_m,toe_us_m,toe_ds_m,base_width_m,area_us_below_nwl_m2,note
0,685936.8,4355885.2,3700,128.0,gravity,12634.487584555935,130.29329038401738,4.0,-165.0,169.0,482.98921773172924,
10,685936.8,4355895.2,3700,127.9,gravity,12652.28571484596,130.0674971269682,4.0,-166.0,170.0,483.1058230846925,
20,685936.9,4355905.2,3701,127.7,gravity,12714.808426992226,129.8181575705853,4.0,-168.0,172.0,481.85702293786994,
30,685936.9,4355915.1,3702,127.4,gravity,12842.509228780244,129.5881497355997,4.0,-172.0,176.0,480.9765723806479,
40,685936.9,4355925.1,3702,127.3,gravity,13019.015385122711,129.46223193328933,4.0,-175.0,179.0,480.6368981492817,
50,685936.9,4355935.1,3700,127.9,gravity,13769.258740554524,130.0302069029151,4.0,-188.0,192.0,482.8817249590759,
60,685939.6,4355944.7,3701,127.6,gravity,14302.54133586926,129.67374135731347,4.0,-194.0,198.0,481.19886399460097,
70,685942.7,4355954.1,3699,128.4,gravity,13575.726684993519,130.60532186200726,4.0,-185.0,189.0,484.7436232643379,
80,685945.9,4355963.6,3695,129.4,gravity,13008.684451310186,131.57826563922026,4.0,-180.0,184.0,488.81598135734953,
90,685948.7,4355973.1,3700,128.1,gravity,14157.33310545101,130.101084930051,4.0,-193.0,197.0,483.48121468011345,
100,685946.3,4355982.8,3700,128.0,gravity,12777.522252072704,130.11097037715194,4.0,-171.0,175.0,483.3799346395035,
110,685942.4,4355991.9,3701,127.8,gravity,12732.26019123105,130.05834134484235,4.0,-168.0,172.0,482.4811003540708,
120,685937.9,4356000.9,3700,128.0,gravity,13080.829705568569,129.969003561421,4.0,-170.0,174.0,483.2808433376406,
130,685933.5,4356009.8,3700,128.1,gravity,13518.610492088039,130.18437819168162,4.0,-173.0,177.0,483.8515088240615,
140,685929.1,4356018.8,3700,127.9,gravity,14519.438979282917,130.4407337256057,4.0,-187.0,191.0,482.6317708218362,
150,685927.3,4356028.5,3700,128.0,gravity,13380.193310620849,129.68478774527398,4.0,-194.0,198.0,483.9835014519556,
159,685930.6,4356037.4,3702,127.3,gravity,12906.653651445778,128.92001611793398,4.0,-195.0,199.0,481.74312518450506,
169,685936.0,4356045.8,3701,127.8,gravity,13457.770817107252,129.64859213548743,4.0,-198.0,202.0,483.2781179312367,
179,685941.4,4356054.1,3700,128.1,gravity,13247.050861040421,129.8807099004755,4.0,-191.0,195.0,484.1823664138981,
189,685946.8,4356062.5,3700,128.0,gravity,13078.903774246508,129.99363566112993,4.0,-191.0,195.0,483.842806614598,
199,685951.3,4356071.4,3699,128.3,gravity,13037.624900682236,130.1511180627797,4.0,-194.0,198.0,484.98504249155894,
209,685955.4,4356080.5,3699,128.3,gravity,12899.567395940769,130.00716423763834,4.0,-187.0,191.0,485.2427859636807,
218,685955.4,4356090.1,3699,128.3,gravity,11849.947061652478,130.02626706599494,4.0,-171.0,175.0,485.59453467862977,
228,685953.5,4356099.9,3700,128.0,gravity,11886.216188894592,129.72607805280177,4.0,-170.0,174.0,483.9999479021494,
238,685951.6,4356109.7,3701,127.7,gravity,12295.245108900268,129.34050163389315,4.0,-172.0,176.0,483.345965109851,
248,685949.7,4356119.5,3700,128.0,gravity,13704.757746517214,129.88209452818478,4.0,-192.0,196.0,484.2274389712634,
258,685951.4,4356129.3,3701,127.7,gravity,13855.616635071356,129.37587940560752,4.0,-208.0,212.0,482.80500420610747,
268,685953.5,4356139.0,3700,127.9,gravity,13979.241372967253,129.75909818385003,4.0,-208.0,212.0,483.9188771874692,
278,685958.9,4356147.4,3703,127.1,gravity,13994.287019947686,128.9586952396428,4.0,-206.0,210.0,480.21790093297227,
288,685964.4,4356155.7,3703,127.1,gravity,13909.546533736966,128.84304427051893,4.0,-199.0,203.0,479.9720922098081,
298,685969.9,4356164.1,3703,127.1,gravity,13725.147617558345,129.12268124425464,4.0,-192.0,196.0,480.40172853572244,
308,685975.3,4356172.4,3701,127.6,gravity,13375.82575960009,129.5656913297555,4.0,-187.0,191.0,482.34543422984734,
318,685980.7,4356180.8,3700,128.1,gravity,13561.096746794476,129.99816301612032,4.0,-193.0,197.0,484.1961330651186,
328,685984.2,4356190.2,3699,128.4,gravity,13905.714904487912,130.4154354581201,4.0,-204.0,208.0,485.38626140779706,
338,685985.7,4356199.9,3699,128.2,gravity,13324.897509436241,130.14585139927112,4.0,-192.0,196.0,484.4319375626601,
348,685985.6,4356209.9,3700,127.9,gravity,13335.363307918733,129.87300238732814,4.0,-190.0,194.0,483.17668727612204,
