station_m,E,N,z_ground_ft,H_axis_m,kind,area_m2,H_max_m,toe_us_m,toe_ds_m,base_width_m,area_us_below_nwl_m2,note
0,685936.8,4355885.2,3700,128.0,rockfill,44971.51757096813,133.69280949272456,113.0,-398.0,511.0,6508.804038685088,
10,685936.8,4355895.2,3700,127.9,rockfill,45357.1711318552,133.65114855932052,113.0,-399.0,512.0,6537.423165898705,
20,685936.9,4355905.2,3701,127.7,rockfill,45928.141869718354,133.57416375892717,113.0,-401.0,514.0,6541.643956135045,
30,685936.9,4355915.1,3702,127.4,rockfill,46794.97088773002,133.69582180957514,113.0,-405.0,518.0,6525.77351393394,
40,685936.9,4355925.1,3702,127.3,rockfill,47678.08403291547,133.44996001712298,113.0,-408.0,521.0,6519.899452855298,
50,685936.9,4355935.1,3700,127.9,rockfill,51622.85613122394,133.87082768707978,113.0,-431.0,544.0,6554.146855368315,
60,685939.6,4355944.7,3701,127.6,rockfill,55648.68146421585,137.30991407419424,113.0,-492.0,605.0,6519.527891883653,
70,685942.7,4355954.1,3699,128.4,rockfill,54739.90033002023,136.22073167220128,113.0,-508.0,621.0,6492.777885738758,
80,685945.9,4355963.6,3695,129.4,rockfill,54220.337079791876,134.18594925282832,113.0,-509.0,622.0,6601.544002724748,
90,685948.7,4355973.1,3700,128.1,rockfill,51982.86246168632,133.6904127345697,113.0,-431.0,544.0,6688.450236087916,
100,685946.3,4355982.8,3700,128.0,rockfill,44400.2406459544,133.90299436811483,113.0,-414.0,527.0,6539.264469107326,
110,685942.4,4355991.9,3701,127.8,rockfill,42692.42413033558,135.15005040441838,113.0,-414.0,527.0,6786.077571857498,
120,685937.9,4356000.9,3700,128.0,rockfill,43613.4697990218,136.41336217242633,120.0,-413.0,533.0,7215.207469681693,
130,685933.5,4356009.8,3700,128.1,rockfill,45449.32293014389,137.45084988759572,124.0,-416.0,540.0,7622.231811117965,
140,685929.1,4356018.8,3700,127.9,rockfill,50227.80774510854,137.94673496803284,122.0,-405.0,527.0,7648.8574005888995,
150,685927.3,4356028.5,3700,128.0,rockfill,55966.06264851763,130.74658651989466,113.0,-469.0,582.0,7223.574258718289,
159,685930.6,4356037.4,3702,127.3,rockfill,61601.713638139496,129.91400083548228,117.0,-505.0,622.0,7453.726812649946,
169,685936.0,4356045.8,3701,127.8,rockfill,66174.86534467059,130.95011735926732,118.0,-543.0,661.0,7358.893973204345,
179,685941.4,4356054.1,3700,128.1,rockfill,66141.82253097676,131.37397501023906,113.0,-553.0,666.0,7052.391879124105,
189,685946.8,4356062.5,3700,128.0,rockfill,64429.85218343343,131.26030661211394,113.0,-538.0,651.0,6803.981741908112,
199,685951.3,4356071.4,3699,128.3,rockfill,62704.200101036244,131.42604164459613,113.0,-521.0,634.0,6797.725641663359,
209,685955.4,4356080.5,3699,128.3,rockfill,60569.71726492165,131.19953717766475,113.0,-500.0,613.0,7011.114284912068,
218,685955.4,4356090.1,3699,128.3,rockfill,52276.32177076936,131.18864825825517,113.0,-456.0,569.0,7086.370256986764,
228,685953.5,4356099.9,3700,128.0,rockfill,51143.17169153865,130.86283834806977,115.0,-448.0,563.0,7242.704066803847,
238,685951.6,4356109.7,3701,127.7,rockfill,52345.60388577963,130.45492949849722,119.0,-450.0,569.0,7413.067367755801,
248,685949.7,4356119.5,3700,128.0,rockfill,59140.196033576714,131.06079318606567,116.0,-498.0,614.0,7382.178232519785,
258,685951.4,4356129.3,3701,127.7,rockfill,64028.14644943882,130.4574446554343,113.0,-510.0,623.0,7290.479038992912,
268,685953.5,4356139.0,3700,127.9,rockfill,68950.86466057034,143.47310495989518,114.0,-532.0,646.0,7372.652940693076,
278,685958.9,4356147.4,3703,127.1,rockfill,68233.33546150348,130.55884162317977,116.0,-592.0,708.0,7375.034627895429,
288,685964.4,4356155.7,3703,127.1,rockfill,66930.40286255181,130.6776026390155,114.0,-594.0,708.0,7157.362865456493,
298,685969.9,4356164.1,3703,127.1,rockfill,65742.34006623336,132.23088766776277,113.0,-596.0,709.0,7016.962809913439,
308,685975.3,4356172.4,3701,127.6,rockfill,64658.46891104286,132.75077880624372,113.0,-597.0,710.0,6965.58414802263,
318,685980.7,4356180.8,3700,128.1,rockfill,66339.23988358848,132.1789418932765,113.0,-583.0,696.0,6989.100808961999,
328,685984.2,4356190.2,3699,128.4,rockfill,67043.28296787635,134.44989360931856,113.0,-529.0,642.0,6930.5325060984815,
338,685985.7,4356199.9,3699,128.2,rockfill,62904.16456673592,132.13998326237493,113.0,-516.0,629.0,6923.426391112946,
348,685985.6,4356209.9,3700,127.9,rockfill,61616.01557109902,132.51420167881065,113.0,-509.0,622.0,7002.15786788098,
358,685985.5,4356219.9,3702,127.5,rockfill,63202.026024423445,132.24391505895278,113.0,-514.0,627.0,7076.169184767223,
368,685985.4,4356229.8,3702,127.4,rockfill,64651.91795809008,131.6570943311317,114.0,-520.0,634.0,7186.676596754664,
378,685985.2,4356239.8,3700,127.9,rockfill,66539.81127574694,136.66777788304785,114.0,-508.0,622.0,7261.291809781485,
388,685986.8,4356249.6,3701,127.8,rockfill,67516.9306924153,131.18142559486932,114.0,-538.0,652.0,7256.96083447264,
398,685989.0,4356259.4,3699,128.2,rockfill,66627.14837945181,131.08848196176655,114.0,-546.0,660.0,7294.966675708707,
408,685991.1,4356269.1,3699,128.4,rockfill,66162.71370281992,131.4601386786078,114.0,-549.0,663.0,7352.378122554313,
