station_m,E,N,z_ground_ft,H_axis_m,kind,area_m2,H_max_m,toe_us_m,toe_ds_m,base_width_m,area_us_below_nwl_m2,note
0,685936.8,4355885.2,3700,128.0,rockfill,48162.87340939152,133.25297084644353,97.0,-422.0,519.0,6377.28346899219,
10,685938.6,4355895.0,3704,126.7,rockfill,48876.84551695889,131.96190862670846,97.0,-426.0,523.0,6289.101027202253,
20,685940.3,4355904.8,3710,125.1,rockfill,49490.01542037011,130.95093772220366,97.0,-430.0,527.0,6197.74093985197,
30,685942.1,4355914.7,3714,123.7,rockfill,49577.98380061735,129.57525055945166,96.0,-434.0,530.0,6090.310956672032,
40,685943.8,4355924.5,3719,122.4,rockfill,49877.31085849296,128.47404958492575,95.0,-438.0,533.0,5968.393480310391,
50,685945.6,4355934.3,3721,121.5,rockfill,50908.430657770165,129.13644634241746,95.0,-443.0,538.0,5866.8627402087295,
60,685947.3,4355944.2,3720,122.0,rockfill,52691.73238145144,131.77815686105032,97.0,-447.0,544.0,5904.743039278848,
70,685949.1,4355954.0,3713,124.2,rockfill,54216.718978771925,132.89598344007277,101.0,-450.0,551.0,6122.624560962075,
80,685950.8,4355963.8,3707,126.0,rockfill,54072.39743534616,131.91671578233627,104.0,-454.0,558.0,6436.572320295254,
90,685952.6,4355973.6,3709,125.2,rockfill,52955.37036131449,129.15497425910985,104.0,-464.0,568.0,6517.531983409013,
100,685954.4,4355983.5,3721,121.5,rockfill,51593.27856932988,125.65984496373494,103.0,-488.0,591.0,6264.983062392535,
110,685956.1,4355993.3,3737,116.6,rockfill,50523.06514728932,121.72985430383483,100.0,-490.0,590.0,5931.377965637503,
120,685957.9,4356003.1,3749,113.1,rockfill,49781.49792439582,116.87784089262323,98.0,-495.0,593.0,5617.33941135962,
130,685959.6,4356013.0,3757,110.6,rockfill,49381.35580924219,113.51002443465336,96.0,-501.0,597.0,5378.925604843873,
140,685961.4,4356022.8,3762,109.0,rockfill,49342.02987678088,111.65058070912687,95.0,-508.0,603.0,5240.048938674634,
150,685963.1,4356032.6,3763,108.9,rockfill,49787.007617087904,111.92764052032248,95.0,-511.0,606.0,5191.07892529991,
160,685964.9,4356042.4,3757,110.7,rockfill,50819.62293887706,113.9478772848247,96.0,-512.0,608.0,5308.714089630999,
170,685966.6,4356052.3,3750,112.8,rockfill,52108.53645041154,116.47206536294698,99.0,-512.0,611.0,5508.469048255127,
180,685968.4,4356062.1,3743,115.0,rockfill,53424.25387793129,118.6751019080948,100.0,-511.0,611.0,5736.318799942733,
190,685970.1,4356071.9,3734,117.5,rockfill,54786.56750202729,120.81096133841743,101.0,-510.0,611.0,5942.706464836188,
200,685971.9,4356081.8,3729,119.0,rockfill,56002.47161560792,122.03834010075207,101.0,-509.0,610.0,6040.962204825745,
210,685973.6,4356091.6,3734,117.8,rockfill,56633.695761141294,120.45325272127593,102.0,-509.0,611.0,5984.246461296081,
220,685975.4,4356101.4,3741,115.4,rockfill,56683.247012622895,118.02756717467287,102.0,-508.0,610.0,5874.13867249237,
230,685977.1,4356111.2,3749,113.2,rockfill,56219.74084422565,115.85420581021594,102.0,-508.0,610.0,5762.12356811392,
240,685978.9,4356121.1,3753,112.0,rockfill,56170.63781403217,114.75057050456053,103.0,-513.0,616.0,5705.788247276501,
250,685980.6,4356130.9,3753,112.0,rockfill,56764.2189695973,114.73825878549087,105.0,-521.0,626.0,5739.853290438633,
260,685982.4,4356140.7,3749,113.1,rockfill,57476.74065081566,115.77207907623415,106.0,-520.0,626.0,5864.480955215341,
270,685984.1,4356150.5,3743,115.0,rockfill,58071.89832144257,117.8038581526323,106.0,-515.0,621.0,6038.177882041258,
280,685985.9,4356160.4,3734,117.6,rockfill,58902.643670277015,120.3720951645671,106.0,-512.0,618.0,6214.394687562726,
290,685987.6,4356170.2,3725,120.5,rockfill,59998.48344584167,123.43569166921043,105.0,-510.0,615.0,6363.708179429026,
299,685989.4,4356180.0,3715,123.3,rockfill,61240.075769845746,126.12489500397373,105.0,-511.0,616.0,6446.277060926901,
309,685991.1,4356189.9,3713,124.1,rockfill,62614.42302382337,127.90593184675117,105.0,-515.0,620.0,6467.698613466293,
319,685992.9,4356199.7,3715,123.5,rockfill,63777.938047011776,129.43063509658168,105.0,-519.0,624.0,6452.237154212569,
329,685994.6,4356209.5,3719,122.1,rockfill,64278.48437972451,131.6204218072719,105.0,-523.0,628.0,6408.204050190524,
339,685996.4,4356219.3,3724,120.7,rockfill,64079.96537188614,130.91552553906,106.0,-527.0,633.0,6363.194210989844,
349,685998.1,4356229.2,3727,119.9,rockfill,63839.63690789978,130.28819312710516,107.0,-531.0,638.0,6342.874908838333,
359,685999.9,4356239.0,3728,119.5,rockfill,63739.753906748636,125.67004818133364,107.0,-534.0,641.0,6361.249828718329,
369,686001.6,4356248.8,3729,119.3,rockfill,63521.2997507469,122.26314321053223,107.0,-539.0,646.0,6414.919282660714,
379,686003.4,4356258.7,3727,119.9,rockfill,63214.74897679587,122.67119638947725,107.0,-547.0,654.0,6489.170666662362,
389,686005.1,4356268.5,3725,120.5,rockfill,62825.56011223876,123.38508488668526,107.0,-553.0,660.0,6561.893484018701,
399,686006.9,4356278.3,3723,120.9,rockfill,62347.922399857474,123.80530473150884,107.0,-553.0,660.0,6620.472800059064,
409,686008.6,4356288.1,3723,120.9,rockfill,61880.45370166804,123.87977825429516,108.0,-555.0,663.0,6643.61103774253,
419,686010.4,4356298.0,3725,120.3,rockfill,61517.64633678227,123.20625747178815,110.0,-558.0,668.0,6638.668525728861,
429,686012.1,4356307.8,3728,119.4,rockfill,61418.48014944331,122.26406944503242,115.0,-563.0,678.0,6629.11645202499,
439,686013.9,4356317.6,3732,118.2,rockfill,61469.988439398236,121.05890363403387,127.0,-567.0,694.0,6659.80743387072,
449,686015.6,4356327.5,3736,117.0,rockfill,61734.61017932888,119.81547621520372,145.0,-571.0,716.0,6787.3728603016425,
459,686017.4,4356337.3,3739,116.1,rockfill,62177.82700557467,118.82054177333589,178.0,-574.0,752.0,7069.88083454012,
469,686019.2,4356347.1,3742,115.3,rockfill,62807.54828880438,118.0581951456868,208.0,-576.0,784.0,7566.063334229656,
479,686020.9,4356356.9,3743,115.0,rockfill,63709.80347054637,117.4496718627388,235.0,-579.0,814.0,8269.320992811725,
489,686022.7,4356366.8,3743,115.0,rockfill,64791.33981834528,117.28999123883159,254.0,-580.0,834.0,9140.024548034044,
499,686024.4,4356376.6,3742,115.3,rockfill,66007.16550065667,117.39544813528823,274.0,-580.0,854.0,10218.613278603398,
509,686026.2,4356386.4,3739,116.0,rockfill,67579.31554216487,118.32051263074095,292.0,-580.0,872.0,11540.325070414132,
519,686027.9,4356396.3,3735,117.3,rockfill,69541.41821505027,119.5372216366809,307.0,-580.0,887.0,13046.501306003882,
529,686029.7,4356406.1,3730,118.8,rockfill,71821.53575123662,120.9464116978545,301.0,-580.0,881.0,14503.847702335934,
539,686031.4,4356415.9,3725,120.5,rockfill,74438.99401387761,122.52258685829906,297.0,-580.0,877.0,15984.953738344759,
549,686033.2,4356425.7,3718,122.6,rockfill,77023.868838225,124.47202936661256,295.0,-582.0,877.0,17385.66297016922,
559,686034.9,4356435.6,3711,124.6,rockfill,79585.66607214979,126.74031632543779,293.0,-585.0,878.0,18772.617867319463,
569,686036.7,4356445.4,3705,126.6,rockfill,80858.18334146035,129.35038358356837,232.0,-662.0,894.0,12425.644445666881,
574,686041.3,4356446.5,3708,125.7,rockfill,56622.19932260602,157.11613079357687,275.0,-351.0,626.0,15637.432796220957,
584,686048.4,4356439.5,3716,123.1,rockfill,57035.092191818185,138.81483358100206,367.0,-335.0,702.0,21901.18141334959,
594,686055.6,4356432.6,3724,120.6,rockfill,54055.368921298075,135.76401255384087,355.0,-335.0,690.0,20307.240951568194,
604,686062.8,4356425.6,3731,118.7,rockfill,50978.983925955254,129.3630894472716,340.0,-336.0,676.0,18727.818712559565,
614,686070.0,4356418.7,3737,116.8,rockfill,47927.650241293915,125.95000010664899,326.0,-325.0,651.0,17219.612779187475,
624,686077.1,4356411.8,3742,115.2,rockfill,45230.92741631629,123.34242132029851,313.0,-308.0,621.0,15821.415292995116,
634,686084.3,4356404.8,3748,113.3,rockfill,42803.99430762529,119.56884728246405,299.0,-297.0,596.0,14489.722947592803,
644,686091.5,4356397.9,3757,110.6,rockfill,40602.74860777962,116.85891234311714,287.0,-291.0,578.0,13237.045997493733,
654,686098.7,4356390.9,3767,107.7,rockfill,38572.98185095242,113.66325513324773,277.0,-286.0,563.0,12031.656014376067,
664,686105.8,4356384.0,3778,104.2,rockfill,36683.95063209291,112.49186851948775,268.0,-282.0,550.0,10884.286807843162,
674,686113.0,4356377.1,3785,102.3,rockfill,35011.77419274565,111.75702746937918,257.0,-279.0,536.0,9805.087371038991,
684,686120.2,4356370.1,3794,99.5,rockfill,33541.29273852466,112.33339670813962,245.0,-276.0,521.0,8792.821600974694,
694,686127.4,4356363.2,3799,97.7,rockfill,32253.07803900444,114.42168352380668,228.0,-273.0,501.0,7865.090410132845,
704,686134.5,4356356.2,3802,97.0,rockfill,31129.90557720801,114.92134938276399,198.0,-271.0,469.0,7057.795921577945,
714,686141.7,4356349.3,3801,97.3,rockfill,30186.030113588145,115.22595581431574,177.0,-268.0,445.0,6364.6007654018085,
723,686148.9,4356342.4,3798,98.1,rockfill,29391.542956204517,116.79847204111184,159.0,-266.0,425.0,5825.904441850494,
733,686156.1,4356335.4,3794,99.2,rockfill,28740.581073910933,116.18206517665658,146.0,-263.0,409.0,5413.612554784363,
743,686163.2,4356328.5,3790,100.7,rockfill,28285.90015097883,117.5103434036348,135.0,-260.0,395.0,5096.646568531993,
753,686170.4,4356321.5,3786,101.8,rockfill,27817.344040281496,119.23160132841394,125.0,-256.0,381.0,4849.348626229559,
763,686177.6,4356314.6,3782,102.9,rockfill,27463.994633413542,120.47019759871091,114.0,-253.0,367.0,4686.8864301819385,
773,686184.8,4356307.7,3778,104.1,rockfill,27170.816585191555,117.79490912280312,99.0,-252.0,351.0,4595.155308065241,
783,686192.0,4356300.7,3775,105.2,rockfill,26935.65759833747,119.12335351219212,91.0,-248.0,339.0,4573.243208154474,
793,686199.1,4356293.8,3773,105.9,rockfill,26553.037087385237,121.16415235960085,88.0,-246.0,334.0,4573.145462020926,
803,686206.3,4356286.8,3772,106.1,rockfill,26086.705070434055,120.99788594918004,87.0,-242.0,329.0,4582.377525869195,
813,686213.5,4356279.9,3771,106.5,rockfill,25558.30236608601,120.19121971133268,86.0,-238.0,324.0,4576.259485148837,
823,686220.7,4356273.0,3771,106.5,rockfill,24992.65262748859,119.4647821635624,86.0,-234.0,320.0,4562.460031125528,
833,686227.8,4356266.0,3771,106.5,rockfill,24431.77794083552,118.97901223743179,86.0,-228.0,314.0,4546.985855612266,
843,686235.0,4356259.1,3770,106.7,rockfill,24042.72082970054,117.63783977569915,86.0,-225.0,311.0,4600.08798624455,
853,686242.2,4356252.1,3768,107.1,rockfill,23828.535058808844,115.47010570227258,87.0,-219.0,306.0,4715.15268845203,
863,686249.4,4356245.2,3766,108.0,rockfill,23750.29769042242,114.63973083395285,88.0,-216.0,304.0,4833.354110712115,
873,686256.5,4356238.3,3761,109.5,rockfill,23793.856467026657,114.02807905872282,89.0,-215.0,304.0,4940.284973105272,
883,686263.7,4356231.3,3757,110.8,rockfill,23947.01305494186,114.4743649904533,90.0,-213.0,303.0,5043.110691484918,
893,686270.9,4356224.4,3752,112.3,rockfill,24352.78208367477,116.255902045232,91.0,-214.0,305.0,5164.38153432766,
903,686278.1,4356217.4,3746,113.9,rockfill,24770.19790832833,121.86699481949881,91.0,-214.0,305.0,5287.983123753899,
913,686285.2,4356210.5,3740,115.7,rockfill,24627.561508856343,124.94501669873762,91.0,-215.0,306.0,5378.551954302074,
923,686292.4,4356203.5,3738,116.4,rockfill,24262.533621722025,126.34158416614082,92.0,-216.0,308.0,5476.9654130363,
933,686299.6,4356196.6,3733,117.8,rockfill,23860.088448069197,126.28276949226915,94.0,-216.0,310.0,5597.3708528308325,
943,686306.8,4356189.7,3729,119.1,rockfill,23361.591669805846,127.27876959935816,96.0,-216.0,312.0,5731.593404719376,
953,686313.9,4356182.7,3725,120.4,rockfill,22758.86556657015,129.01530613267641,98.0,-215.0,313.0,5867.978382273684,
963,686321.1,4356175.8,3721,121.6,rockfill,21998.43956994896,129.8516314831097,100.0,-214.0,314.0,6024.049359993483,
973,686328.3,4356168.8,3715,123.4,rockfill,21241.31967446326,130.68164256763043,101.0,-212.0,313.0,6194.519280392709,
983,686335.5,4356161.9,3709,125.3,rockfill,20457.833700653362,130.73997078518983,102.0,-210.0,312.0,6339.293364741733,
993,686342.7,4356155.0,3704,126.9,rockfill,19584.80864377723,132.11409989563913,102.0,-207.0,309.0,6434.267735348681,
1003,686349.8,4356148.0,3700,128.1,rockfill,24386.550303510823,129.2175962971005,106.0,-230.0,336.0,6759.147373310622,
1012,686358.6,4356151.4,3718,122.4,rockfill,27263.761950848515,124.59196827008691,117.0,-296.0,413.0,7846.543012331633,
1022,686367.5,4356155.9,3730,118.9,rockfill,26657.54063466531,120.18426321474294,113.0,-294.0,407.0,7113.199423243936,
1032,686376.5,4356160.3,3742,115.1,rockfill,27200.65175177545,117.28481127507075,111.0,-308.0,419.0,6535.252120641927,
1042,686385.4,4356164.8,3756,111.0,rockfill,27712.478070185865,111.6580922466278,107.0,-323.0,430.0,5966.280435532342,
1052,686394.3,4356169.3,3773,105.7,rockfill,28350.61052895464,107.19243042841799,101.0,-338.0,439.0,5452.390247775305,
1062,686403.2,4356173.7,3789,100.8,rockfill,28921.275501586366,103.30028306901954,96.0,-353.0,449.0,5008.111829148675,
1072,686412.2,4356178.2,3802,96.9,rockfill,27384.92834007428,99.09808168964446,92.0,-365.0,457.0,4617.346012379773,
1082,686421.1,4356182.7,3815,93.0,rockfill,25336.40030513198,95.34693611276589,89.0,-345.0,434.0,4272.50309276866,
1092,686430.0,4356187.1,3825,90.0,rockfill,23788.98825880709,92.3731557317667,86.0,-330.0,416.0,3971.4565730658232,
1102,686439.0,4356191.6,3830,88.5,rockfill,22557.920387426144,90.80980912490304,84.0,-318.0,402.0,3797.2452825185974,
1112,686447.9,4356196.1,3824,90.1,rockfill,21914.105125700495,92.44116919371118,85.0,-305.0,390.0,3875.401430412635,
1122,686456.8,4356200.5,3812,93.9,rockfill,21751.152307491084,97.15398358252855,87.0,-292.0,379.0,4152.318590477711,
1132,686465.8,4356205.0,3800,97.7,rockfill,21636.704312347054,101.04481504644195,90.0,-280.0,370.0,4493.572479174346,
1142,686474.7,4356209.4,3784,102.4,rockfill,21567.762955462233,106.05157453467996,94.0,-259.0,353.0,4842.077291799669,
1152,686483.6,4356213.9,3769,106.9,rockfill,21597.07489321776,109.33781770158134,99.0,-237.0,336.0,5254.795365181429,
1162,686492.5,4356218.4,3756,111.0,rockfill,21561.001572449044,113.94758393374468,103.0,-219.0,322.0,5625.171387607852,
1172,686501.5,4356222.8,3742,115.3,rockfill,21243.929573292473,119.65400464605636,110.0,-206.0,316.0,6067.305937984121,
1182,686510.4,4356227.3,3730,119.0,rockfill,20789.985053678713,123.32260871794074,115.0,-196.0,311.0,6584.310895770483,
1192,686519.3,4356231.8,3710,125.1,rockfill,28029.491986853332,126.35085253882721,145.0,-320.0,465.0,8942.134308799443,
1199,686521.5,4356238.8,3701,127.7,rockfill,20186.517443366145,129.16213925351053,110.0,-215.0,325.0,7017.786021735739,
1209,686517.7,4356248.0,3711,124.8,rockfill,18122.828110943537,128.85283276583755,110.0,-205.0,315.0,6671.803809812674,
