station_m,E,N,z_ground_ft,H_axis_m,kind,area_m2,H_max_m,toe_us_m,toe_ds_m,base_width_m,area_us_below_nwl_m2,note
0,686063.3,4355881.2,3940,54.7,cfrd,11037.458814359978,54.7492274786423,35.0,-360.0,395.0,629.1177899323766,
10,686066.8,4355890.5,3969,45.9,cfrd,11355.554989167786,67.05600000000027,36.0,-340.0,376.0,1760.4037941991758,
20,686070.3,4355899.9,3949,52.0,cfrd,8918.664419122006,67.05600000000004,42.0,-251.0,293.0,2247.535363852099,
30,686076.2,4355907.6,3937,55.9,cfrd,6340.819941268457,67.05600000000004,43.0,-165.0,208.0,2262.7704933317427,
40,686083.4,4355914.5,3914,62.7,cfrd,5768.965464452587,67.05600000000004,49.0,-137.0,186.0,2521.5353197239874,
50,686090.5,4355921.4,3988,40.1,cfrd,5663.098453930863,67.05600000000027,60.0,-121.0,181.0,2848.51172155881,
60,686097.7,4355928.4,3967,46.6,cfrd,7166.883622525321,67.05600000000027,99.0,-176.0,275.0,3436.3024967353576,
69,686099.4,4355938.1,3912,63.4,cfrd,10080.083960843041,67.05600000000004,99.0,-317.0,416.0,3453.084575527667,
79,686100.9,4355948.0,3957,49.8,cfrd,9768.362169096887,67.05600000000027,99.0,-298.0,397.0,3439.5211102455996,
89,686102.5,4355957.8,3933,56.9,cfrd,8930.129000886924,67.05600000000004,99.0,-277.0,376.0,3446.378948534792,
99,686104.0,4355967.7,3949,52.1,cfrd,7993.016937625387,67.05600000000027,99.0,-255.0,354.0,3441.821989816878,
109,686105.6,4355977.5,3995,38.1,cfrd,7205.876297613575,67.05600000000004,99.0,-231.0,330.0,3427.7747749281907,
119,686107.1,4355987.3,3940,54.9,cfrd,6354.862371456969,67.05600000000004,99.0,-182.0,281.0,3444.6488608378368,
129,686110.5,4355996.4,3989,39.9,cfrd,6457.869873310712,67.05600000000027,99.0,-205.0,304.0,3428.614241976742,
139,686116.1,4356004.7,3954,50.7,cfrd,6147.695706523285,67.05600000000004,99.0,-164.0,263.0,3440.3933777010525,
149,686121.6,4356013.0,3942,54.2,cfrd,5947.6121860659005,67.05600000000004,99.0,-148.0,247.0,3443.926598126365,
159,686127.2,4356021.3,3934,56.7,cfrd,5783.970288421392,67.05600000000004,99.0,-137.0,236.0,3446.415050185349,
169,686132.4,4356029.7,3930,57.8,cfrd,5754.58834549977,67.05600000000027,99.0,-139.0,238.0,3447.5187035766994,
179,686136.4,4356038.8,3935,56.3,cfrd,5797.339500705032,67.05600000000027,99.0,-147.0,246.0,3446.008917356092,
189,686139.7,4356048.1,3975,44.3,cfrd,5885.623281905615,67.05600000000004,99.0,-169.0,268.0,3433.979661781361,
199,686141.0,4356058.0,3945,53.5,cfrd,5992.310510742677,67.05600000000004,99.0,-175.0,274.0,3443.1838809409965,
209,686142.3,4356067.9,3916,62.3,cfrd,6034.021905518665,67.05600000000027,99.0,-170.0,269.0,3451.8664212202766,
218,686143.6,4356077.7,3986,40.7,cfrd,5898.335491832069,67.05600000000027,81.0,-170.0,251.0,3304.1938797707926,
228,686143.1,4356087.7,3938,55.4,cfrd,5821.476397696216,67.05600000000004,72.0,-168.0,240.0,3171.076817548199,
238,686142.4,4356097.6,3906,65.1,cfrd,5876.6137577048685,67.05600000000004,68.0,-177.0,245.0,3103.2297463202294,
248,686141.8,4356107.5,3974,44.6,cfrd,5847.550361943509,67.05600000000027,65.0,-172.0,237.0,2997.495884786292,
258,686141.1,4356117.5,3941,54.5,cfrd,5857.345008106647,67.05600000000004,61.0,-164.0,225.0,2904.464323621486,
268,686140.4,4356127.4,3909,64.3,cfrd,5909.8580876611595,67.05600000000027,58.0,-162.0,220.0,2797.488404897229,
278,686139.7,4356137.3,3977,43.6,cfrd,5907.777516226858,67.05600000000027,71.0,-166.0,237.0,2586.059826361169,
288,686139.1,4356147.3,3944,53.6,cfrd,6278.374601676081,67.05600000000027,80.0,-185.0,265.0,2510.130804141945,
298,686139.3,4356157.2,3924,59.7,cfrd,7115.164147040992,67.05600000000004,84.0,-230.0,314.0,2413.1210131386424,
308,686140.4,4356167.1,3907,64.9,cfrd,7883.574646605683,67.05600000000027,75.0,-301.0,376.0,2273.9398047424784,
318,686144.5,4356176.0,3949,52.0,cfrd,6445.336580865982,67.05600000000004,72.0,-163.0,235.0,3169.314757650185,
325,686150.7,4356178.7,3938,55.6,cfrd,5926.15823634174,67.05600000000027,59.0,-191.0,250.0,2534.5442287228816,
335,686158.7,4356172.7,3936,56.2,cfrd,9311.563966755635,67.05600000000027,78.0,-263.0,341.0,2272.3980235862855,
345,686166.6,4356166.7,3929,58.4,cfrd,9637.634504548963,67.05600000000004,77.0,-253.0,330.0,2392.5272916267277,
355,686173.0,4356159.0,3948,52.4,cfrd,9728.897535804066,67.05600000000027,76.0,-256.0,332.0,2491.262757159426,
364,686179.4,4356151.4,3975,44.3,cfrd,9995.567957070007,67.05600000000027,68.0,-246.0,314.0,2617.6479639273284,
374,686185.7,4356143.7,3939,55.3,cfrd,10261.978937068327,67.05600000000027,58.0,-237.0,295.0,2815.0580600537614,
384,686192.1,4356136.1,3932,57.4,cfrd,10254.272436617634,67.05600000000004,65.0,-228.0,293.0,3003.9573473439827,
394,686198.4,4356128.4,3982,42.1,cfrd,9469.41928448281,67.05600000000004,66.0,-200.0,266.0,3022.3935358368562,
404,686202.5,4356119.3,3977,43.6,cfrd,8615.270679836738,67.05600000000027,66.0,-182.0,248.0,3021.3916911733813,
414,686206.5,4356110.2,3970,45.8,cfrd,8449.8414174558,67.05600000000004,70.0,-178.0,248.0,3115.846924523179,
424,686210.5,4356101.1,3960,48.6,cfrd,8346.428695225582,67.05600000000004,75.0,-175.0,250.0,3207.7213563094847,
434,686214.6,4356092.0,3952,51.2,cfrd,8265.744026340737,67.05600000000027,81.0,-172.0,253.0,3318.9372882069183,
444,686218.6,4356082.9,3945,53.4,cfrd,8317.075373276592,67.05600000000027,91.0,-172.0,263.0,3418.09165812038,
454,686223.7,4356074.4,3920,61.1,cfrd,8556.323972589369,67.05600000000004,99.0,-178.0,277.0,3450.7705849754384,
464,686230.3,4356067.0,3939,55.2,cfrd,8669.338056390428,67.05600000000004,99.0,-180.0,279.0,3444.933710946305,
474,686236.9,4356059.5,3942,54.4,cfrd,8585.243657441268,67.05600000000004,99.0,-176.0,275.0,3444.097130470421,
484,686243.5,4356052.1,3956,49.9,cfrd,8152.949829138837,67.05600000000004,99.0,-161.0,260.0,3439.5030195461786,
494,686247.3,4356043.1,3982,42.0,cfrd,7292.635366177042,67.05600000000004,99.0,-149.0,248.0,3431.707092491194,
503,686251.4,4356034.2,3964,47.5,cfrd,7299.7881307529,67.05600000000027,99.0,-152.0,251.0,3437.142743983861,
513,686257.0,4356026.0,3953,50.9,cfrd,7274.110384723653,67.05600000000004,99.0,-153.0,252.0,3440.6500156469583,
523,686262.7,4356017.8,3947,52.8,cfrd,7828.88612973754,67.05600000000004,99.0,-174.0,273.0,3442.5109353087328,
533,686272.2,4356015.1,3956,50.0,cfrd,7075.955222508542,67.05600000000004,99.0,-192.0,291.0,3439.7455175157165,
543,686281.8,4356012.5,3931,57.6,cfrd,7701.370448690359,67.05600000000004,99.0,-217.0,316.0,3447.2511695770017,
553,686291.4,4356010.0,3949,52.1,cfrd,8354.246164326856,67.05600000000004,99.0,-207.0,306.0,3441.7825385552615,
563,686301.0,4356007.5,3952,51.2,cfrd,8628.794336945208,67.05600000000027,99.0,-184.0,283.0,3440.7443455984685,
573,686310.3,4356003.9,3936,56.0,cfrd,8213.996719859708,67.05600000000004,99.0,-164.0,263.0,3445.704870390662,
583,686319.1,4355999.3,3942,54.1,cfrd,7507.791233309219,67.05600000000004,99.0,-131.0,230.0,3443.864164426992,
593,686325.6,4355991.7,3928,58.5,cfrd,6788.637037394637,67.05600000000027,99.0,-106.0,205.0,3448.2006670336823,
603,686331.4,4355983.7,3989,39.8,cfrd,6375.677366608302,67.05600000000027,99.0,-94.0,193.0,3428.621127281587,
613,686336.3,4355975.0,3941,54.5,cfrd,6011.55873856088,67.05600000000004,99.0,-85.0,184.0,3444.2408848506248,
623,686341.2,4355966.3,3960,48.9,cfrd,5732.588367128463,67.05600000000004,99.0,-79.0,178.0,3438.6032452050317,
633,686345.8,4355957.6,3925,59.4,cfrd,5379.709383124208,67.05600000000004,99.0,-69.0,168.0,3449.0806822895374,
643,686347.9,4355947.8,3937,55.7,cfrd,5045.472620278297,67.05600000000027,99.0,-66.0,165.0,3445.4568742532783,
652,686350.0,4355938.1,3949,52.1,cfrd,4786.868557848725,67.05600000000027,99.0,-65.0,164.0,3441.768347484154,
662,686352.1,4355928.4,3960,48.7,cfrd,6119.4102826611825,67.05600000000004,99.0,-66.0,165.0,3438.4540288942444,
672,686354.2,4355918.6,3971,45.5,cfrd,6168.884592730667,67.05600000000004,99.0,-59.0,158.0,3435.214602888466,
676,686357.5,4355916.2,3973,44.9,cfrd,6136.443738404197,67.05600000000027,57.0,-99.0,156.0,2793.2547693430106,
686,686362.4,4355924.9,3941,54.5,cfrd,6594.386160281805,67.05600000000027,99.0,-99.0,198.0,3444.263456952457,
696,686367.7,4355933.2,3961,48.4,cfrd,6210.794201803292,67.05600000000027,98.0,-99.0,197.0,3437.276461461101,
706,686375.3,4355939.7,3936,56.0,cfrd,5040.180908745078,67.05600000000004,78.0,-75.0,153.0,3282.567723946895,
716,686384.6,4355941.6,3905,65.5,cfrd,6549.529461060246,67.05600000000027,71.0,-161.0,232.0,3167.607984735705,
726,686394.5,4355941.5,3904,65.9,cfrd,5904.031655956422,67.05600000000027,71.0,-123.0,194.0,3168.0018588057956,
736,686404.5,4355941.5,3903,66.2,cfrd,5310.787161521777,67.05600000000027,71.0,-104.0,175.0,3168.389898164459,
746,686414.4,4355941.5,3901,66.6,cfrd,4839.692717945238,67.05600000000027,72.0,-88.0,160.0,3188.690477070463,
756,686424.4,4355941.5,3900,67.0,cfrd,5778.003440032673,67.05600000000027,97.0,-93.0,190.0,3454.7562198329674,
764,686424.4,4355950.1,3913,63.1,cfrd,4826.983635313289,67.05600000000027,99.0,-65.0,164.0,3452.8645249758356,
774,686422.9,4355960.0,3956,50.0,cfrd,5056.750673543755,67.05600000000027,99.0,-66.0,165.0,3439.7069136069604,
784,686422.5,4355969.8,3927,58.8,cfrd,5459.349191829635,67.05600000000027,99.0,-69.0,168.0,3448.523567151973,
794,686425.4,4355979.3,3914,62.8,cfrd,5915.310915419348,67.05600000000004,99.0,-81.0,180.0,3452.5296127983615,
804,686429.3,4355988.4,3924,59.8,cfrd,6361.623317578591,67.05600000000027,99.0,-92.0,191.0,3449.509278887962,
814,686434.4,4355996.9,3946,53.1,cfrd,6925.852067741218,67.05600000000027,99.0,-111.0,210.0,3442.8162215814627,
824,686440.7,4356004.5,3978,43.4,cfrd,7660.680909528048,67.05600000000004,99.0,-143.0,242.0,3432.4221084205255,
834,686448.3,4356010.9,3954,50.5,cfrd,8194.899632763307,67.05600000000004,99.0,-167.0,266.0,3440.1725575242162,
843,686455.9,4356017.4,3954,50.5,cfrd,8299.351705762962,67.05600000000004,99.0,-180.0,279.0,3440.18206249617,
853,686463.5,4356023.9,3938,55.6,cfrd,7978.756195870747,67.05600000000027,99.0,-163.0,262.0,3445.2990219965254,
863,686468.8,4356032.2,3949,52.1,cfrd,7574.297824176641,67.05600000000004,99.0,-142.0,241.0,3441.842737263959,
873,686473.0,4356041.1,3948,52.5,cfrd,7206.505895710365,67.05600000000004,99.0,-128.0,227.0,3442.2301732159476,
883,686474.8,4356050.9,3969,45.9,cfrd,7168.013725610957,67.05600000000004,99.0,-125.0,224.0,3435.6364491527293,
893,686476.6,4356060.7,3993,38.8,cfrd,7441.588536390336,67.05600000000027,99.0,-130.0,229.0,3428.5535194633812,
903,686478.4,4356070.5,3914,62.7,cfrd,7583.664182618777,67.05600000000004,84.0,-137.0,221.0,3357.7119556858443,
913,686480.1,4356080.3,3936,56.0,cfrd,8457.181015863272,67.05600000000004,99.0,-160.0,259.0,3445.703182639155,
