station_m,E,N,z_ground_ft,H_axis_m,kind,area_m2,H_max_m,toe_us_m,toe_ds_m,base_width_m,area_us_below_nwl_m2,note
0,686063.3,4355881.2,4000,36.6,cfrd,11007.524084612878,39.76962295091789,35.0,-360.0,395.0,599.1830601852773,
10,686066.8,4355890.5,4002,35.8,cfrd,10211.521957613919,38.649950183606734,36.0,-340.0,376.0,616.3707626453095,
20,686070.3,4355899.9,4001,36.3,cfrd,7311.749454538065,38.569603952781335,36.0,-251.0,287.0,640.6203992681583,
30,686076.2,4355907.6,4001,36.1,cfrd,4717.738910306333,38.258094796934756,36.0,-165.0,201.0,639.6894623696196,
40,686083.4,4355914.5,4001,36.4,cfrd,3894.8253616918073,38.829965771497655,37.0,-137.0,174.0,648.8461862528056,
50,686090.5,4355921.4,3998,37.1,cfrd,3485.342916143471,39.48281378843171,37.0,-121.0,158.0,670.7561837714186,
60,686097.7,4355928.4,4000,36.6,cfrd,4406.970129744968,38.82088117804119,37.0,-176.0,213.0,676.3890039550051,
69,686099.4,4355938.1,3998,37.2,cfrd,7346.16969577533,39.662014355998735,39.0,-317.0,356.0,719.1703104599558,
79,686100.9,4355948.0,3998,37.1,cfrd,7057.032838479735,39.250949464738596,39.0,-298.0,337.0,728.1917796284472,
89,686102.5,4355957.8,3999,36.8,cfrd,6212.758888586301,38.70690207562666,40.0,-277.0,317.0,729.0088362341687,
99,686104.0,4355967.7,4001,36.3,cfrd,5283.113568652641,38.14230093846231,40.0,-255.0,295.0,731.9186208441329,
109,686105.6,4355977.5,4002,35.9,cfrd,4532.529130304068,37.830324013285235,41.0,-231.0,272.0,754.4276076186841,
119,686107.1,4355987.3,4001,36.4,cfrd,3686.461902114228,37.9981666108099,42.0,-182.0,224.0,776.2483914950953,
129,686110.5,4355996.4,4001,36.4,cfrd,3808.160396202335,37.845987949144046,42.0,-205.0,247.0,778.904764868365,
139,686116.1,4356004.7,4001,36.4,cfrd,3484.9843897291157,37.85437578100937,41.0,-164.0,205.0,777.6820609068827,
149,686121.6,4356013.0,4001,36.3,cfrd,3274.4747097978643,37.97777641745756,41.0,-148.0,189.0,770.7891218583288,
159,686127.2,4356021.3,4000,36.5,cfrd,3096.786670184671,37.96809565207582,40.0,-137.0,177.0,759.2314319486272,
169,686132.4,4356029.7,4000,36.6,cfrd,3046.904546488507,38.06843658231196,39.0,-139.0,178.0,739.8349045654375,
179,686136.4,4356038.8,3999,36.8,cfrd,3069.446137018289,37.64586175320892,38.0,-147.0,185.0,718.1155536693491,
189,686139.7,4356048.1,4000,36.6,cfrd,3142.4596270507773,38.54138114893681,37.0,-169.0,206.0,690.8160069265241,
199,686141.0,4356058.0,3998,37.0,cfrd,3236.3287117148648,39.1125835478299,37.0,-175.0,212.0,687.2020819131837,
209,686142.3,4356067.9,3998,37.1,cfrd,3257.3214222039182,39.38859600927435,39.0,-170.0,209.0,675.1659379055293,
218,686143.6,4356077.7,4000,36.6,cfrd,3244.54447204849,39.22879984477345,40.0,-170.0,210.0,650.402859987212,
228,686143.1,4356087.7,4000,36.7,cfrd,3296.3284999929365,39.66874330076439,40.0,-168.0,208.0,645.9289198449194,
238,686142.4,4356097.6,4000,36.5,cfrd,3426.5204135401646,39.66504959009876,42.0,-177.0,219.0,653.1364021555255,
248,686141.8,4356107.5,4000,36.6,cfrd,3520.803904972849,39.43580710925767,44.0,-172.0,216.0,670.7494278156319,
258,686141.1,4356117.5,4000,36.5,cfrd,3662.4163156404084,39.47760984635215,49.0,-164.0,213.0,709.5356311552466,
268,686140.4,4356127.4,4001,36.3,cfrd,3885.2816718258136,39.053579870952944,57.0,-162.0,219.0,772.9119890618838,
278,686139.7,4356137.3,4001,36.4,cfrd,4207.182059793675,38.92429556012189,71.0,-166.0,237.0,885.4643699279854,
288,686139.1,4356147.3,4001,36.4,cfrd,4789.88993789935,38.90791430949389,80.0,-185.0,265.0,1021.6461403652158,
298,686139.3,4356157.2,4000,36.6,cfrd,5841.3943558269675,38.95049821066118,84.0,-230.0,314.0,1139.3512219246184,
308,686140.4,4356167.1,4000,36.5,cfrd,6737.691348518485,39.079952515740615,75.0,-301.0,376.0,1128.0565066552801,
318,686144.5,4356176.0,4001,36.3,cfrd,4221.094999666875,37.92255538171412,55.0,-163.0,218.0,945.0731764510801,
325,686150.7,4356178.7,4001,36.1,cfrd,4386.552285836649,37.81361200007518,59.0,-191.0,250.0,994.938278217792,
335,686158.7,4356172.7,4002,36.1,cfrd,8234.355901249452,38.08923009510886,78.0,-263.0,341.0,1195.1899580801035,
345,686166.6,4356166.7,4000,36.6,cfrd,8331.882381865475,39.01835414600055,77.0,-253.0,330.0,1087.2630592539824,
355,686173.0,4356159.0,4001,36.4,cfrd,8243.80696760688,38.93227258541879,76.0,-256.0,332.0,1006.1721889622424,
364,686179.4,4356151.4,4000,36.6,cfrd,8226.861617671975,39.13741060781285,68.0,-246.0,314.0,848.9416245292973,
374,686185.7,4356143.7,3999,36.8,cfrd,8200.479747472265,39.82338215754544,55.0,-237.0,292.0,753.6172899936273,
384,686192.1,4356136.1,3998,37.3,cfrd,7956.3656980984215,39.41349405139135,45.0,-228.0,273.0,706.05060882477,
394,686198.4,4356128.4,4000,36.6,cfrd,7142.297372497337,39.599573990242334,43.0,-200.0,243.0,695.2716238513822,
404,686202.5,4356119.3,4002,36.1,cfrd,6261.575540195722,38.7777601556445,42.0,-182.0,224.0,667.6965515323659,
414,686206.5,4356110.2,4002,35.9,cfrd,5998.225236980227,38.73347010627867,41.0,-178.0,219.0,664.230744047605,
424,686210.5,4356101.1,4001,36.3,cfrd,5800.938571072886,38.95576407728595,40.0,-175.0,215.0,662.2469586245015,
434,686214.6,4356092.0,3999,36.8,cfrd,5613.2754036487795,39.50996092936157,40.0,-172.0,212.0,666.4736455722166,
444,686218.6,4356082.9,3999,36.9,cfrd,5563.864903509714,39.331671760448216,39.0,-172.0,211.0,664.8811883535013,
454,686223.7,4356074.4,3999,36.7,cfrd,5750.649664474532,39.289699649000795,36.0,-178.0,214.0,645.0962768606012,
464,686230.3,4356067.0,4000,36.7,cfrd,5846.755048270224,39.34849465989964,35.0,-180.0,215.0,622.3507028261006,
474,686236.9,4356059.5,4000,36.6,cfrd,5750.401517885058,39.301084804726315,35.0,-176.0,211.0,609.2549909142103,
484,686243.5,4356052.1,4000,36.6,cfrd,5329.411344671911,39.59140162006588,35.0,-161.0,196.0,615.9645350792541,
494,686247.3,4356043.1,4002,36.1,cfrd,4450.502955004856,38.82615229916519,33.0,-149.0,182.0,589.5746813190096,
503,686251.4,4356034.2,4000,36.6,cfrd,4437.528432998811,39.39121903695059,33.0,-152.0,185.0,574.8830462297719,
513,686257.0,4356026.0,4000,36.6,cfrd,4430.939103108624,40.50220539016232,33.0,-153.0,186.0,597.4787340319285,
523,686262.7,4356017.8,4000,36.6,cfrd,5028.55282763888,39.22404783071761,35.0,-174.0,209.0,642.1776332100742,
533,686272.2,4356015.1,3998,37.1,cfrd,4266.76757509611,39.71507147795228,35.0,-192.0,227.0,630.5578701032855,
543,686281.8,4356012.5,4001,36.4,cfrd,4857.293765008812,39.52917487367927,34.0,-217.0,251.0,603.1744858954557,
553,686291.4,4356010.0,3999,37.0,cfrd,5522.407927846483,39.87210045879306,33.0,-207.0,240.0,609.9443020748888,
563,686301.0,4356007.5,3999,36.8,cfrd,5802.730706834107,40.12738174362448,34.0,-184.0,218.0,615.0388652606009,
573,686310.3,4356003.9,3999,36.9,cfrd,5374.346990055196,39.21748461143852,34.0,-164.0,198.0,606.0551405861493,
583,686319.1,4355999.3,4000,36.6,cfrd,4669.29612940741,39.67228638620804,34.0,-131.0,165.0,605.3690605251843,
593,686325.6,4355991.7,4001,36.4,cfrd,3925.1413650792338,39.79675445731891,33.0,-106.0,139.0,585.368730597789,
603,686331.4,4355983.7,4001,36.2,cfrd,3516.494397660017,40.137599694893424,32.0,-94.0,126.0,569.4381583333011,
613,686336.3,4355975.0,4002,35.9,cfrd,3117.6574709325705,38.64450771737279,32.0,-85.0,117.0,550.3396172223161,
623,686341.2,4355966.3,4003,35.8,cfrd,2855.252012287599,39.01328965997254,32.0,-79.0,111.0,561.2668903641688,
633,686345.8,4355957.6,4000,36.5,cfrd,2517.1127097726403,39.79468308317746,33.0,-69.0,102.0,586.4840089379695,
643,686347.9,4355947.8,4001,36.4,cfrd,2182.4904693064705,39.17888694457315,33.0,-66.0,99.0,582.474723281452,
652,686350.0,4355938.1,4001,36.2,cfrd,1925.4426089190533,39.16616703871796,33.0,-65.0,98.0,580.3423985544823,
662,686352.1,4355928.4,4000,36.7,cfrd,1647.862603405127,40.44184871125185,32.0,-53.0,85.0,578.3636062993205,
672,686354.2,4355918.6,3998,37.2,cfrd,1555.8464683691532,38.0872061305181,32.0,-54.0,86.0,578.1967231644737,
676,686357.5,4355916.2,4000,36.6,cfrd,1511.2012864072422,37.9217022192945,32.0,-44.0,76.0,572.5626019482413,
686,686362.4,4355924.9,4000,36.6,cfrd,1519.2678058183628,39.90936176495143,33.0,-41.0,74.0,583.9528785697478,
696,686367.7,4355933.2,4000,36.5,cfrd,1753.3333963970501,40.17165383937936,34.0,-48.0,82.0,607.9519832646886,
706,686375.3,4355939.7,4001,36.3,cfrd,2375.709857495869,38.90604652217553,34.0,-75.0,109.0,618.0966726976869,
716,686384.6,4355941.6,4003,35.6,cfrd,3978.4944563141744,38.12480577436099,34.0,-161.0,195.0,596.572979989633,
