station_m,E,N,z_ground_ft,H_axis_m,kind,area_m2,H_max_m,toe_us_m,toe_ds_m,base_width_m,area_us_below_nwl_m2,note
0,686063.3,4355881.2,4000,36.6,rcc,1562.2567288082435,38.389725895386164,4.0,-73.0,77.0,117.89940441037515,
10,686066.8,4355890.5,4002,35.8,rcc,1419.1228220134592,37.53421616358787,4.0,-69.0,73.0,115.70853014435284,
20,686070.3,4355899.9,4001,36.3,rcc,1274.7620573271658,37.74405256829232,4.0,-61.0,65.0,117.96266001722438,
30,686076.2,4355907.6,4001,36.1,rcc,1273.927522316672,37.51880809589625,4.0,-62.0,66.0,116.82339002618005,
40,686083.4,4355914.5,4001,36.4,rcc,1280.1891015993222,37.819231802417335,4.0,-58.0,62.0,117.97156118890052,
50,686090.5,4355921.4,3998,37.1,rcc,1238.875871062639,38.50494246536641,4.0,-53.0,57.0,120.8206730605707,
60,686097.7,4355928.4,4000,36.6,rcc,1219.099414606867,37.913466597621664,4.0,-56.0,60.0,119.45940265889953,
69,686099.4,4355938.1,3998,37.2,rcc,1252.8471045442154,38.65494057836054,4.0,-56.0,60.0,122.05054706462988,
79,686100.9,4355948.0,3998,37.1,rcc,1259.2764088774616,38.4161350814461,4.0,-58.0,62.0,121.75045101748924,
89,686102.5,4355957.8,3999,36.8,rcc,1181.1536814805438,37.92980274446245,4.0,-55.0,59.0,120.81623323586996,
99,686104.0,4355967.7,4001,36.3,rcc,1085.4593160611043,37.367192268139206,4.0,-51.0,55.0,118.53575215003411,
109,686105.6,4355977.5,4002,35.9,rcc,1021.3730328343495,37.097122889259936,4.0,-48.0,52.0,117.50767538408354,
119,686107.1,4355987.3,4001,36.4,rcc,989.3194477547909,37.332669453741346,4.0,-45.0,49.0,119.17165575155104,
129,686110.5,4355996.4,4001,36.4,rcc,982.180490545453,37.19682997858831,4.0,-44.0,48.0,119.67575487683962,
139,686116.1,4356004.7,4001,36.4,rcc,983.1562930142804,37.26065556270305,4.0,-44.0,48.0,119.54137885767477,
149,686121.6,4356013.0,4001,36.3,rcc,987.3025737059493,37.313574497502486,4.0,-44.0,48.0,119.17928098241487,
159,686127.2,4356021.3,4000,36.5,rcc,987.8030202172508,37.39277563083647,4.0,-44.0,48.0,119.990725752466,
169,686132.4,4356029.7,4000,36.6,rcc,989.0244197206018,37.54281648622441,4.0,-44.0,48.0,120.13934995530212,
179,686136.4,4356038.8,3999,36.8,rcc,1001.7927275866505,37.33781495367134,4.0,-44.0,48.0,120.63551911405989,
189,686139.7,4356048.1,4000,36.6,rcc,1018.324792047265,37.77350860403476,4.0,-44.0,48.0,119.96422673474831,
199,686141.0,4356058.0,3998,37.0,rcc,1058.6002996431116,38.29475578974848,4.0,-45.0,49.0,121.37768393945703,
209,686142.3,4356067.9,3998,37.1,rcc,1097.3190613679626,38.423520112751476,4.0,-46.0,50.0,121.07308091669483,
218,686143.6,4356077.7,4000,36.6,rcc,1111.5976068775997,38.15639224457391,4.0,-46.0,50.0,119.03501128393509,
228,686143.1,4356087.7,4000,36.7,rcc,1140.8441569583813,38.589913408361326,4.0,-47.0,51.0,118.51573365009449,
238,686142.4,4356097.6,4000,36.5,rcc,1167.4553248679886,38.38150926389744,4.0,-48.0,52.0,118.00607432241304,
