case,line,crest_ft,nwl_ft,section,floor_ft,L_m,Hmax_m,L_H>100_m,L_H<=30_m,dam_endarea_Mm3,dam_grid_Mm3,rockfill_Mm3,gravity_Mm3,infeasible_m,cut_inside_Mm3,gross_Mm3,gross_2mDEM_Mm3,us_wedge_Mm3,net_Mm3,A_nwl_acre,dam_per_net_water,net_GWh_at_518m
A_parcel_ring_3700_auto_close,A_parcel_ring_3700,4120.0,4100.0,auto_close,,4589,129.4,2930.0,460.0,63.2,63.1,0.0,0.0,0.0,0.0,38.07,38.06,16.62,21.45,131.7,2.9,25.7
A_parcel_ring_3700_auto_crest4000,A_parcel_ring_3700,4000.0,3980.0,auto,,4589,92.8,0,410.0,80.7,125.4,80.6,0.1,0.0,0.0,20.18,20.17,12.94,7.24,106.6,17.3,8.7
A_parcel_ring_3700_auto_height,A_parcel_ring_3700,4120.0,4100.0,auto_height,,4589,129.4,2930.0,460.0,112.8,154.8,0.0,0.0,0.0,0.0,38.07,38.06,26.6,11.47,131.7,13.5,13.8
A_parcel_ring_3700_auto,A_parcel_ring_3700,4120.0,4100.0,auto,,4589,129.4,2930.0,460.0,136.3,203.9,136.2,0.1,0.0,0.0,38.07,38.06,30.91,7.17,131.7,28.5,8.6
A_parcel_ring_3700_gravity_floor3900,A_parcel_ring_3700,4120.0,4100.0,gravity,3900.0,4589,129.4,2930.0,610.0,34.4,41.9,0.0,34.4,0.0,7.35,45.03,45.15,1.64,43.39,139.3,1.0,52.1
A_parcel_ring_3700_gravity,A_parcel_ring_3700,4120.0,4100.0,gravity,,4589,129.4,2930.0,460.0,34.3,41.8,0.0,34.3,0.0,0.0,38.07,38.06,1.57,36.51,131.7,1.1,43.8
A_parcel_ring_3700_rockfill_floor3800,A_parcel_ring_3700,4120.0,4100.0,rockfill,3800.0,4589,129.4,2930.0,580.0,141.7,209.7,141.7,0.0,0.0,10.53,48.21,54.18,36.2,12.0,139.2,17.5,14.4
A_parcel_ring_3700_rockfill_floor3900,A_parcel_ring_3700,4120.0,4100.0,rockfill,3900.0,4589,129.4,2930.0,630.0,138.6,206.2,138.6,0.0,0.0,5.88,43.55,45.15,33.09,10.46,139.2,19.7,12.6
A_parcel_ring_3700_rockfill_floor4000,A_parcel_ring_3700,4120.0,4100.0,rockfill,4000.0,4589,129.4,2930.0,760.0,137.1,204.8,137.1,0.0,0.0,2.17,39.84,40.06,31.64,8.2,139.2,25.0,9.8
A_parcel_ring_3700_rockfill,A_parcel_ring_3700,4120.0,4100.0,rockfill,,4589,129.4,2930.0,460.0,136.6,204.2,136.6,0.0,0.0,0.0,38.07,38.06,31.15,6.92,131.7,29.5,8.3
A_parcel_ring_3700_s100_auto,A_parcel_ring_3700_s100,4120.0,4100.0,auto,,4284,147.3,2480.0,460.0,121.0,264.3,120.9,0.1,0.0,0.0,31.78,31.78,27.46,4.31,117.8,61.3,5.2
A_parcel_ring_3800_auto,A_parcel_ring_3800,4120.0,4100.0,auto,,4164,99.0,0,460.0,65.7,89.4,65.6,0.1,0.0,0.0,17.8,17.8,16.81,0.99,83.9,90.2,1.2
A_parcel_ring_3900_auto,A_parcel_ring_3900,4120.0,4100.0,auto,,3438,68.7,0,470.0,31.9,51.8,31.7,0.1,0.0,0.0,6.61,6.61,6.4,0.21,47.8,249.6,0.2
A_parcel_ring_4000_auto_close,A_parcel_ring_4000,4120.0,4100.0,auto_close,,2178,37.3,0,320.0,5.8,9.8,0.0,0.0,0.0,0.0,1.2,1.2,1.13,0.07,17.7,131.7,0.1
A_parcel_ring_4000_cfrd_floor3900,A_parcel_ring_4000,4120.0,4100.0,cfrd,3900.0,2178,37.3,0,320.0,5.8,18.7,0.0,0.0,0.0,1.23,2.25,6.27,1.13,1.12,21.2,16.6,1.3
A_parcel_ring_4000_cfrd,A_parcel_ring_4000,4120.0,4100.0,cfrd,,2178,37.3,0,320.0,5.8,18.7,0.0,0.0,0.0,0.0,1.2,1.2,1.13,0.07,17.7,260.0,0.1
A_parcel_ring_4000_rcc_floor3800,A_parcel_ring_4000,4120.0,4100.0,rcc,3800.0,2178,37.3,0,320.0,1.7,4.9,0.0,0.0,0.0,2.19,3.29,9.41,0.18,3.11,20.6,1.6,3.7
