crest_ft,nwl_ft,lambda,fill_est_Mm3,storage_est_Mm3,dam_len_m,free_len_m,area_acre,marg_eff
3900.0,3880.0,40,0.000,0.000,0,3447,54.4,
3900.0,3880.0,20,0.000,0.000,0,3447,54.4,
3900.0,3880.0,10,0.000,0.000,1,3446,54.4,
3900.0,3880.0,7,0.000,0.000,1,3446,54.4,
3900.0,3880.0,5,0.000,0.000,1,3446,54.4,
3900.0,3880.0,4,0.000,0.000,2,3444,54.4,
3900.0,3880.0,3.5,0.000,0.000,3,3443,54.4,
3900.0,3880.0,3,0.000,0.000,4,3442,54.4,
3900.0,3880.0,2.7,0.000,0.000,4,3442,54.4,
3900.0,3880.0,2.4,0.000,0.000,4,3442,54.4,
3900.0,3880.0,2.1,0.000,0.000,6,3441,54.4,
3900.0,3880.0,1.85,0.000,0.000,7,3440,54.4,
3900.0,3880.0,1.6,0.000,0.000,8,3439,54.4,
3900.0,3880.0,1.4,0.000,0.000,9,3438,54.4,
3900.0,3880.0,1.2,0.000,0.000,11,3436,54.4,
3900.0,3880.0,1.0,0.000,0.000,12,3434,54.4,
3900.0,3880.0,0.85,3.163,2.838,990,3007,84.9,0.90
3900.0,3880.0,0.7,20.584,11.721,1273,1878,132.9,0.51
3900.0,3880.0,0.55,72.422,20.473,2345,1878,164.2,0.17
3900.0,3880.0,0.4,79.307,22.490,2969,1879,175.5,0.29
3950.0,3930.0,40,0.000,0.000,0,3020,40.0,
3950.0,3930.0,20,0.000,0.000,0,3020,40.0,
3950.0,3930.0,10,0.000,0.000,3,3017,40.1,
3950.0,3930.0,7,0.000,0.000,3,3017,40.1,
3950.0,3930.0,5,0.000,0.000,3,3017,40.1,
3950.0,3930.0,4,0.000,0.000,3,3017,40.1,
3950.0,3930.0,3.5,0.000,0.000,4,3013,40.1,
3950.0,3930.0,3,0.000,0.000,4,3013,40.1,
3950.0,3930.0,2.7,0.000,0.000,4,3013,40.1,
3950.0,3930.0,2.4,0.000,0.000,6,3012,40.1,
3950.0,3930.0,2.1,0.000,0.000,6,3012,40.1,
3950.0,3930.0,1.85,0.000,0.000,7,3013,40.1,
3950.0,3930.0,1.6,0.000,0.000,7,3013,40.1,
3950.0,3930.0,1.4,0.000,0.000,7,3013,40.1,
3950.0,3930.0,1.2,0.000,0.000,10,3009,40.1,
3950.0,3930.0,1.0,0.000,0.000,12,3013,40.1,
3950.0,3930.0,0.85,0.000,0.000,14,3010,40.1,0.00
3950.0,3930.0,0.7,31.909,15.595,1595,1619,127.6,0.49
3950.0,3930.0,0.55,32.887,16.178,1692,1619,130.8,0.60
3950.0,3930.0,0.4,86.549,24.655,2698,1618,156.7,0.16
4000.0,3980.0,40,0.000,0.000,0,2585,26.4,
4000.0,3980.0,20,0.000,0.000,1,2589,26.5,
4000.0,3980.0,10,0.000,0.000,1,2589,26.5,
4000.0,3980.0,7,0.000,0.000,1,2589,26.5,
4000.0,3980.0,5,0.000,0.000,6,2585,26.5,
4000.0,3980.0,4,0.000,0.000,6,2585,26.5,
4000.0,3980.0,3.5,0.000,0.000,6,2585,26.5,
4000.0,3980.0,3,0.000,0.000,7,2584,26.5,
4000.0,3980.0,2.7,0.000,0.000,7,2584,26.5,
4000.0,3980.0,2.4,0.000,0.000,7,2584,26.5,
4000.0,3980.0,2.1,0.000,0.000,7,2584,26.5,
4000.0,3980.0,1.85,0.000,0.000,9,2582,26.5,
4000.0,3980.0,1.6,0.000,0.000,9,2582,26.5,
4000.0,3980.0,1.4,0.000,0.000,11,2577,26.5,
4000.0,3980.0,1.2,0.000,0.000,12,2578,26.5,
4000.0,3980.0,1.0,0.000,0.000,16,2577,26.5,0.00
4000.0,3980.0,0.85,0.000,0.000,16,2577,26.5,
4000.0,3980.0,0.7,25.848,13.697,1672,1366,104.2,0.53
4000.0,3980.0,0.55,46.072,20.014,2051,1363,123.8,0.31
4000.0,3980.0,0.4,47.823,20.517,2109,1362,125.7,0.29
4050.0,4030.0,40,0.000,0.000,0,1755,14.7,
4050.0,4030.0,20,0.000,0.000,0,1755,14.7,
4050.0,4030.0,10,0.000,0.000,0,1755,14.7,
4050.0,4030.0,7,0.000,0.000,0,1755,14.7,
4050.0,4030.0,5,0.000,0.000,1,1754,14.7,
4050.0,4030.0,4,0.000,0.000,2,1758,14.7,
4050.0,4030.0,3.5,0.000,0.000,2,1758,14.7,
4050.0,4030.0,3,0.000,0.000,2,1758,14.7,
4050.0,4030.0,2.7,0.000,0.000,2,1758,14.7,
4050.0,4030.0,2.4,0.000,0.000,2,1758,14.7,
4050.0,4030.0,2.1,0.000,0.000,3,1759,14.7,
4050.0,4030.0,1.85,0.000,0.000,4,1758,14.7,
4050.0,4030.0,1.6,0.000,0.000,4,1758,14.7,
4050.0,4030.0,1.4,0.000,0.000,6,1757,14.7,
4050.0,4030.0,1.2,0.000,0.000,7,1756,14.7,
4050.0,4030.0,1.0,0.000,0.000,7,1756,14.7,
4050.0,4030.0,0.85,0.000,0.000,9,1754,14.7,0.00
4050.0,4030.0,0.7,34.101,15.961,2021,928,94.6,0.47
4050.0,4030.0,0.55,61.791,23.414,2594,927,115.6,0.27
4050.0,4030.0,0.4,64.681,24.305,2707,922,118.4,0.31
