crest_ft,nwl_ft,lambda,fill_est_Mm3,storage_est_Mm3,dam_len_m,free_len_m,area_acre,marg_eff
3900.0,3880.0,40,0.000,0.000,0,3447,54.4,
3900.0,3880.0,20,0.000,0.000,1,3446,54.4,
3900.0,3880.0,10,0.000,0.000,1,3446,54.4,
3900.0,3880.0,7,0.000,0.000,1,3446,54.4,
3900.0,3880.0,5,0.000,0.000,4,3442,54.4,
3900.0,3880.0,4,0.000,0.000,4,3442,54.4,
3900.0,3880.0,3.5,0.000,0.000,6,3441,54.4,
3900.0,3880.0,3,0.944,2.831,972,3015,84.9,3.00
3900.0,3880.0,2.7,1.503,4.499,1063,3014,92.1,2.98
3900.0,3880.0,2.4,6.232,11.687,1264,1882,132.8,1.52
3900.0,3880.0,2.1,6.448,12.046,1338,1882,135.5,1.66
3900.0,3880.0,1.85,8.408,13.233,1432,1881,139.2,0.61
3900.0,3880.0,1.6,26.692,20.872,2383,1881,165.6,0.42
3900.0,3880.0,1.4,26.950,21.103,2386,1881,166.3,0.90
3900.0,3880.0,1.2,28.788,23.003,3053,1880,178.1,1.03
3900.0,3880.0,1.0,31.130,24.740,3143,1880,183.7,0.74
3900.0,3880.0,0.85,39.454,31.891,3868,1462,214.2,0.86
3900.0,3880.0,0.7,43.587,34.832,4133,1462,222.9,0.71
3900.0,3880.0,0.55,58.488,42.589,4832,1462,243.6,0.52
3900.0,3880.0,0.4,62.019,43.807,5007,1462,246.3,0.34
3950.0,3930.0,40,0.000,0.000,0,3020,40.0,
3950.0,3930.0,20,0.000,0.000,2,3018,40.1,
3950.0,3930.0,10,0.000,0.000,3,3017,40.1,
3950.0,3930.0,7,0.000,0.000,3,3017,40.1,
3950.0,3930.0,5,0.000,0.000,4,3013,40.1,
3950.0,3930.0,4,0.000,0.000,6,3012,40.1,
3950.0,3930.0,3.5,0.000,0.000,6,3012,40.1,
3950.0,3930.0,3,0.000,0.000,7,3013,40.1,
3950.0,3930.0,2.7,2.399,6.773,1292,2816,81.0,2.82
3950.0,3930.0,2.4,8.674,15.159,1553,1628,126.9,1.34
3950.0,3930.0,2.1,8.802,15.442,1598,1628,128.3,2.22
3950.0,3930.0,1.85,9.085,15.863,1648,1627,130.1,1.49
3950.0,3930.0,1.6,11.772,17.299,1776,1626,134.1,0.53
3950.0,3930.0,1.4,29.725,24.763,2689,1626,157.1,0.42
3950.0,3930.0,1.2,32.001,26.825,3347,1619,167.0,0.91
3950.0,3930.0,1.0,33.090,27.720,3527,1578,172.0,0.82
3950.0,3930.0,0.85,40.241,33.878,3984,1291,196.6,0.86
3950.0,3930.0,0.7,46.133,37.878,4370,1258,208.4,0.68
3950.0,3930.0,0.55,56.512,43.249,4815,1258,222.3,0.52
3950.0,3930.0,0.4,60.589,44.772,5015,1258,225.7,0.37
4000.0,3980.0,40,0.000,0.000,0,2585,26.4,
4000.0,3980.0,20,0.000,0.000,1,2589,26.5,
4000.0,3980.0,10,0.000,0.000,4,2586,26.5,
4000.0,3980.0,7,0.000,0.000,6,2585,26.5,
4000.0,3980.0,5,0.000,0.000,7,2584,26.5,
4000.0,3980.0,4,0.000,0.000,7,2584,26.5,
4000.0,3980.0,3.5,0.000,0.000,7,2584,26.5,
4000.0,3980.0,3,0.000,0.000,9,2582,26.5,
4000.0,3980.0,2.7,0.000,0.000,9,2582,26.5,
4000.0,3980.0,2.4,8.974,16.312,1778,1367,111.8,1.82
4000.0,3980.0,2.1,12.952,19.470,1967,1363,122.2,0.79
4000.0,3980.0,1.85,13.117,19.793,2015,1363,123.4,1.97
4000.0,3980.0,1.6,13.253,20.017,2041,1363,124.4,1.64
4000.0,3980.0,1.4,13.727,20.290,2076,1363,125.1,0.58
4000.0,3980.0,1.2,16.825,22.717,2331,1363,133.0,0.78
4000.0,3980.0,1.0,35.543,30.679,3924,1168,161.9,0.43
4000.0,3980.0,0.85,40.713,35.156,4222,1062,179.1,0.87
4000.0,3980.0,0.7,45.359,38.271,4513,1048,187.7,0.67
4000.0,3980.0,0.55,56.738,44.212,4941,1046,202.6,0.52
4000.0,3980.0,0.4,60.359,45.537,5064,1046,205.4,0.37
4050.0,4030.0,40,0.000,0.000,0,1755,14.7,
4050.0,4030.0,20,0.000,0.000,0,1755,14.7,
4050.0,4030.0,10,0.000,0.000,1,1754,14.7,
4050.0,4030.0,7,0.000,0.000,2,1758,14.7,
4050.0,4030.0,5,0.000,0.000,2,1758,14.7,
4050.0,4030.0,4,0.000,0.000,2,1758,14.7,
4050.0,4030.0,3.5,0.000,0.000,3,1759,14.7,
4050.0,4030.0,3,0.000,0.000,4,1758,14.7,
4050.0,4030.0,2.7,0.000,0.000,4,1758,14.7,
4050.0,4030.0,2.4,11.138,17.880,2162,928,100.3,1.61
4050.0,4030.0,2.1,13.790,20.502,2382,928,107.1,0.99
4050.0,4030.0,1.85,13.991,20.803,2375,928,108.0,1.50
4050.0,4030.0,1.6,17.964,23.792,2629,928,116.8,0.75
4050.0,4030.0,1.4,18.219,24.094,2658,928,117.8,1.18
4050.0,4030.0,1.2,18.345,24.215,2682,928,118.2,0.96
4050.0,4030.0,1.0,24.179,27.868,3131,819,134.1,0.63
4050.0,4030.0,0.85,29.167,31.968,4013,746,150.5,0.82
4050.0,4030.0,0.7,48.003,41.197,4858,746,174.1,0.49
4050.0,4030.0,0.55,52.487,43.588,5024,746,179.9,0.53
4050.0,4030.0,0.4,57.228,45.585,5163,746,184.5,0.42
