crest_ft,lambda,seg,E,N,len_m,H_max_m,fill_rcc_Mm3,fill_cfrd_Mm3
4050.0,2.1,1,686355,4356420,1370,131,8.61,26.04
4050.0,2.1,2,686707,4356649,860,82,1.69,9.98
4050.0,2.1,3,686756,4356057,280,26,0.03,0.12
4050.0,2.1,4,686354,4355872,20,5,0.00,0.00
4050.0,2.4,1,686371,4356393,1220,131,6.66,19.94
4050.0,2.4,2,686727,4356629,770,78,1.34,6.53
4050.0,2.4,3,686756,4356053,270,27,0.03,0.12
4050.0,2.4,4,686353,4355872,20,4,0.00,0.00
4000.0,2.1,1,686310,4356447,1200,131,8.15,23.21
4000.0,2.1,2,686704,4356673,810,67,1.07,6.48
4000.0,2.1,3,686757,4356082,70,11,0.00,0.01
3950.0,1.6,1,686319,4356551,1370,131,7.63,23.69
3950.0,1.6,2,686749,4356708,480,59,0.43,1.42
3950.0,1.6,3,686772,4356380,20,4,0.00,0.00
3900.0,1.85,1,686323,4356593,1190,131,5.33,16.71
3900.0,1.85,2,686724,4356800,270,44,0.20,0.73
3900.0,1.85,3,686780,4356612,50,1,0.00,0.00
3900.0,1.85,4,686776,4356529,20,0,0.00,0.00
